aacode	floorx	SAP_hhsizex
H0354206	59.48	1.966894075
H0354215	67.12	2.17422708
H0354305	48.45	1.644576658
H0354306	48.29	1.6398932
H0354308	56.86	1.891611409
H0354309	56.31	1.875626384
H0354315	42.77	1.481750046
H0354320	75.38	2.369364582
H0354322	42.98	1.487599522
H0354405	61.68	2.028714342
H0354407	62.34	2.046963277
H0354411	79.45	2.452342546
H0361103	56.38	1.877663773
H0361112	66.07	2.147072668
H0361113	39.61	1.396009011
H0361201	39.35	1.389168773
H0361206	54.37	1.818876971
H0361207	23.32	1.065916102
H0361211	84.04	2.535062013
H0361212	72.2	2.29832885
H0361214	132.64	2.901523447
H0361216	82.1	2.501499806
H0361409	75.18	2.3650552
H0361417	216.2	3.022988897
H0361418	153.68	2.939790492
H0362109	221.2	3.02948946
H0362113	153.26	2.939164157
H0362116	87.42	2.588733756
H0362201	40.94	1.43153816
H0362204	83.59	2.527458136
H0362209	54.47	1.821813575
H0362210	73.1	2.318973216
H0362212	66.2	2.150460646
H0362216	37.32	1.337070815
H0362218	44.92	1.54236531
H0362301	68.15	2.200386097
H0362308	40.82	1.42829712
H0362310	77.64	2.416556504
H0362312	52.43	1.761755191
H0362317	81.19	2.485052348
H0362319	84.57	2.543878257
H0362401	70.02	2.246610326
H0362404	50.05	1.691573058
H0362407	48.24	1.638430356
H0362415	54.79	1.831203608
H0362416	97.85	2.718711325
H0363114	74.16	2.342744172
H0363202	58.74	1.945793658
H0363212	67.3	2.17883325
H0363216	81.63	2.493061376
H0363217	73.08	2.318519031
H0363218	73.95	2.338081941
H0363301	121.87	2.870258919
H0363313	69.69	2.238575197
H0363315	158.67	2.947029126
H0363318	45.09	1.547220784
H0364302	61.4	2.02092869
H0364304	91.66	2.647766686
H0364306	77.47	2.413103298
H0364319	102.05	2.757709873
H0364401	97.85	2.718711325
H0364405	64.17	2.096754088
H0364416	65.8	2.140013058
H0371102	53.38	1.789756881
H0371108	86.58	2.575956268
H0371110	82.86	2.514890627
H0371203	38.52	1.367579305
H0371207	103.6	2.770446148
H0371208	34.41	1.266977457
H0371210	44.02	1.516803882
H0371211	59.09	1.9557911
H0371302	52.66	1.768537992
H0371307	105.52	2.785088139
H0371406	114.34	2.83851759
H0371410	73.66	2.331605254
H0371411	52.11	1.752316021
H0372102	65.2	2.124215376
H0372106	50.34	1.700114848
H0372110	97.6	2.716169837
H0372112	62.18	2.042552836
H0372114	45.35	1.554662424
H0372201	81.79	2.495947551
H0372209	36.37	1.313553881
H0372211	136.5	2.910104896
H0372304	79.38	2.450991921
H0372305	97.87	2.71891353
H0372310	87.76	2.593801755
H0372313	77.63	2.416353811
H0372401	65.5	2.132132955
H0372407	63.44	2.077040324
H0373102	53.3	1.787400574
H0373109	194.51	2.994772986
H0373201	238.37	3.051810959
H0373207	68.69	2.213905105
H0373211	62.86	2.061235605
H0373304	73.52	2.328462695
H0373312	87.88	2.595576261
H0374103	88.73	2.607934992
H0374105	78.1	2.42582129
H0374111	72.37	2.302260493
H0374302	103.12	2.766591966
H0374303	191	2.99019898
H0374305	28.55	1.146058484
H0374306	64.8	2.11360125
H0374310	51.06	1.721340494
H0374311	158.36	2.946588876
H0381103	55.46	1.850824641
H0381107	57.47	1.909274255
H0381111	108.2	2.803578763
H0381203	74.57	2.351779095
H0381208	94.71	2.684863386
H0381303	69.63	2.237108562
H0381305	37.76	1.348156566
H0381308	46	1.573344483
H0381407	239.28	3.052993965
H0382101	86.91	2.581019728
H0382104	83.38	2.523872328
H0382106	38.86	1.376376837
H0382110	89.01	2.611925779
H0382201	156.17	2.943445619
H0382204	57.78	1.918221564
H0382205	123.04	2.874333674
H0382210	154.3	2.940709641
H0382301	50.3	1.698936365
H0382302	86.03	2.56739063
H0382305	50.05	1.691573058
H0382310	88.31	2.601874344
H0382402	32.53	1.22500169
H0382404	149.91	2.934048069
H0382405	48.53	1.646919695
H0382410	115.07	2.842072816
H0383103	44.53	1.531258122
H0383105	41.15	1.437226083
H0383107	56.42	1.878827622
H0383206	60.72	2.001916959
H0383208	57.4	1.907251123
H0383210	60.08	1.98389544
H0383211	50.97	1.718686202
H0383302	79.38	2.450991921
H0383306	40.31	1.414599365
H0383402	62.59	2.053836847
H0383407	66.42	2.156177573
H0384101	55.06	1.839117377
H0384106	167.31	2.958956132
H0384205	166.05	2.957249553
H0384209	255.54	3.074131998
H0384301	96.72	2.707016512
H0384304	165.26	2.956174945
H0384306	127.08	2.8869986
H0384312	313.07	3.148921
H0384402	84.94	2.549943967
H0384405	89.77	2.622559334
H0384410	53.79	1.80182624
H0384411	55.79	1.860466584
H0391104	62.28	2.045310392
H0391111	63.54	2.079752756
H0391202	58.99	1.952937835
H0391203	53.66	1.798000668
H0391213	93.11	2.665941251
H0391215	53.66	1.798000668
H0391301	59.67	1.97228857
H0391303	32.22	1.218353055
H0391306	66	2.145245376
H0391309	60.44	1.994047388
H0391311	50.81	1.713968102
H0391401	52.53	1.764704435
H0392103	77.25	2.408611027
H0392109	76.31	2.389119855
H0392110	54.93	1.83530813
H0392112	72.81	2.31236709
H0392202	63.23	2.071332136
H0392204	117.08	2.851289561
H0392206	49.35	1.670980592
H0392210	54.68	1.827977047
H0392212	58.29	1.932895768
H0392304	85.74	2.562810202
H0392308	75.42	2.370223877
H0392309	62.89	2.062056086
H0392401	231.17	3.042450877
H0392410	150.43	2.934857497
H0392413	42.6	1.477027143
H0392414	88.16	2.599688072
H0393101	63.69	2.08381438
H0393105	78.21	2.428019636
H0393107	56.63	1.884933285
H0393111	85.57	2.560104495
H0393113	75.03	2.361809063
H0393114	63.37	2.075139407
H0393204	64.11	2.095141469
H0393206	26.42	1.109972134
H0393208	54.29	1.816526972
H0393209	51.05	1.721045561
H0393213	74.8	2.356808227
H0393309	82.72	2.512447461
H0393312	53.94	1.806238717
H0393402	37.08	1.331074892
H0393404	114.87	2.841110188
H0393412	67.43	2.182150872
H0394106	76.32	2.389329735
H0394107	77.22	2.407996399
H0394204	142.22	2.921195463
H0394303	69.99	2.24588206
H0394304	88.5	2.604627165
H0394306	44.16	1.52076346
H0394402	77.28	2.409225164
H0394405	75.38	2.369364582
H0394406	39.94	1.404741894
H0394407	108.63	2.80634764
H0394408	61.13	2.013397233
H0394412	69.07	2.223336124
H0401106	68.64	2.212659091
H0401108	78.1	2.42582129
H0401116	53.92	1.805650493
H0401117	57.54	1.911296378
H0401211	110.05	2.815125722
H0401309	90.7	2.635181083
H0401310	23.78	1.07179285
H0401313	29.94	1.171997346
H0401401	48.25	1.638722896
H0401407	51.69	1.739925126
H0401415	90.43	2.631560584
H0401418	143.4	2.923295637
H0401420	195.73	2.996361848
H0401421	69.66	2.237842098
H0401423	43.8	1.510594736
H0401424	36.81	1.324373329
H0402101	37.97	1.353489143
H0402109	78.83	2.440286408
H0402111	79.07	2.444978295
H0402112	32.11	1.216013131
H0402205	87.28	2.586629596
H0402209	47.36	1.612748048
H0402211	44.71	1.5363789
H0402301	35.82	1.300211588
H0402304	83.85	2.531864776
H0402305	92.2	2.654651329
H0402307	90.15	2.627768161
H0402308	68.19	2.201392172
H0402309	85.28	2.555453588
H0402311	72.94	2.315333882
H0402314	107.55	2.799292157
H0402318	104.5	2.777461367
H0402405	79.07	2.444978295
H0402412	64.92	2.116792304
H0402417	168.54	2.9606142
H0402419	45.62	1.562409541
H0403102	54.33	1.81770205
H0403103	39.21	1.385500552
H0403108	60.85	2.00556265
H0403111	234	3.04612992
H0403113	179.11	2.974644607
H0403115	169.57	2.961997299
H0403201	65.39	2.129234166
H0403213	35.34	1.288737828
H0403304	58.02	1.92513432
H0403311	92.21	2.654777513
H0403312	64.6	2.10826998
H0403316	68.87	2.218380975
H0403317	149.62	2.933593973
H0403320	95.22	2.6906519
H0403404	91.46	2.645181416
H0403409	77.41	2.411880753
H0403413	121.09	2.867429158
H0404101	57.05	1.89712072
H0404107	103.31	2.768127089
H0404111	55.01	1.837652526
H0404114	56.42	1.878827622
H0404117	54.15	1.812413
H0404118	372.33	3.225959
H0404121	30.5	1.182955824
H0404122	49.5	1.675389733
H0404123	53.33	1.788284235
H0404202	72.09	2.295776914
H0404204	136.97	2.911082226
H0404212	85.91	2.565500654
H0404215	35.81	1.299970912
H0404216	49.91	1.687451432
H0404303	63.78	2.086247279
H0404306	60.78	2.003600226
H0404310	66.53	2.15902817
H0404313	57.21	1.901754767
H0404316	84.43	2.541564058
H0404317	56.85	1.891321257
H0404318	44.29	1.524445865
H0404319	89.96	2.625172693
H0404320	62.83	2.060414802
H0404401	73.93	2.3376367
H0404406	31.83	1.210102994
H0404407	42.5	1.474254239
H0404410	112.56	2.829350146
H0404412	69.89	2.243451322
H0404414	50.08	1.692456442
H0404418	56.44	1.879409444
H0404420	61.66	2.028159072
H0411107	84.18	2.537405464
H0411108	78.85	2.440678604
H0411109	24.99	1.088362874
H0411110	74.23	2.34429305
H0411111	92.38	2.656915407
H0411112	45.55	1.560399192
H0411115	57.62	1.913606127
H0411201	92.96	2.664106976
H0411205	50.62	1.708366617
H0411206	80.2	2.466644958
H0411212	50.94	1.717801493
H0411306	92.59	2.659537496
H0411311	87.4	2.588433782
H0411312	80.95	2.4806392
H0411316	82.83	2.514367986
H0412101	63.9	2.089486358
H0412109	67.76	2.19053814
H0412210	48.82	1.655420112
H0412304	53.66	1.798000668
H0412312	79.31	2.449638611
H0412316	143.03	2.922642987
H0412402	77.58	2.415339528
H0412404	57.19	1.901175785
H0412408	111.69	2.824598495
H0412413	83.33	2.523015056
H0412415	84.39	2.540900933
H0412417	65.95	2.143938889
H0413107	69.73	2.239551981
H0413114	71.57	2.283629278
H0413116	215.92	3.022624853
H0413205	135.97	2.908986493
H0413207	73.26	2.322599164
H0413208	98.06	2.720826291
H0413213	49.93	1.688040149
H0413216	59.72	1.973706542
H0413411	34.61	1.271603545
H0413414	71.87	2.290654404
H0414102	118.09	2.855622591
H0414104	148.31	2.931517386
H0414111	41.54	1.447842482
H0414112	359.8	3.20967
H0414115	143.22	2.922978786
H0414117	157.68	2.945619272
H0414202	54.34	1.817995795
H0414207	80.96	2.48082371
H0414210	103.18	2.767078095
H0414211	78.73	2.438322138
H0414302	57.71	1.916202982
H0414304	38.87	1.376636574
H0414309	112.95	2.831421235
H0414311	86.69	2.577650397
H0414318	75.34	2.368504426
H0414401	44.94	1.542936114
H0414408	75.27	2.366997083
H0414414	77.72	2.41817608
H0414415	27.48	1.127361598
H0414416	45.87	1.569599549
H0421201	43.87	1.512568621
H0421202	38	1.354253101
H0421207	92.95	2.663984318
H0421301	68.43	2.207412986
H0421309	55.73	1.85871468
H0421311	49.88	1.686568412
H0421401	67.59	2.18622361
H0421402	45.91	1.570751397
H0421404	38.86	1.376376837
H0421406	43.27	1.49570445
H0422201	81.31	2.487247115
H0422208	45.41	1.55638234
H0422306	191.91	2.991385288
H0422404	80.23	2.467210642
H0422408	81.87	2.497385404
H0423103	117.22	2.85190167
H0423203	98.4	2.724212328
H0423307	97.96	2.719821421
H0423404	75.11	2.363541839
H0423406	63.56	2.080294794
H0423408	100.18	2.741185932
H0424103	106.57	2.792592806
H0424203	230.78	3.041943869
H0424212	100.29	2.742194289
H0424301	77.06	2.404710097
H0424307	58.58	1.941213297
H0424408	46.23	1.579980043
H0424413	47.63	1.620614244
H0424418	73.22	2.321693934
H0431201	74.03	2.339860786
H0431213	56.59	1.883770898
H0431303	60.27	1.989258101
H0431401	67.32	2.179344149
H0431403	30.92	1.191360496
H0431405	58.44	1.93720042
H0431407	38.01	1.354507873
H0431408	58.52	1.939494066
H0431410	48.61	1.649263575
H0431411	59.4	1.964619805
H0431413	67.82	2.192057763
H0431415	57.44	1.908407321
H0432105	81.97	2.499177815
H0432108	37.6	1.344111594
H0432113	93.58	2.671621095
H0432201	95.48	2.693558587
H0432207	21.2	1.041920342
H0432213	80.52	2.472653504
H0432304	18.49	1.018860411
H0432307	22.68	1.058133494
H0433201	81.06	2.482665802
H0433202	63.91	2.089756033
H0433204	135.84	2.90870946
H0433207	31.01	1.19318192
H0433212	42.1	1.463202692
H0433309	309.65	3.144475
H0433311	42.98	1.487599522
H0433314	127.39	2.887889384
H0434103	43.89	1.513132891
H0434104	112.06	2.826641806
H0434107	79.46	2.452535273
H0434114	35.57	1.294215526
H0434201	80.66	2.475264609
H0434203	62.07	2.039515581
H0434210	130.95	2.897410857
H0434212	76.13	2.385332752
H0434213	58.71	1.944935316
H0441102	109.21	2.809999924
H0441104	197.41	2.998549155
H0441106	61.99	2.037304092
H0441122	50.27	1.698052564
H0441123	59.2	1.958926731
H0441124	50.42	1.702472083
H0441203	109.32	2.810682075
H0441224	37.11	1.33182239
H0441304	69.85	2.242477658
H0441309	107.6	2.799626276
H0441412	101	2.748592192
H0441414	77.77	2.419186539
H0441416	51.14	1.723700051
H0441417	120.78	2.866278307
H0441419	99.58	2.735603677
H0441420	67.35	2.18011016
H0442103	68.15	2.200386097
H0442106	74.95	2.360072856
H0442112	77.05	2.40450424
H0442113	58.63	1.942645328
H0442116	61.21	2.015631187
H0442119	74.32	2.346280638
H0442207	34.65	1.27253233
H0442212	46	1.573344483
H0442220	42.1	1.463202692
H0442302	84.36	2.540403027
H0442303	81.25	2.486150715
H0442310	80.6	2.474146878
H0442312	43.89	1.513132891
H0442316	70.85	2.266582801
H0442403	58.81	1.947795596
H0442409	59.1	1.956076286
H0442411	54.8	1.831496864
H0442414	187.37	2.985462635
H0442420	67.91	2.194334102
H0443114	106.66	2.793220152
H0443119	89.4	2.617418588
H0443201	52.91	1.775908465
H0443202	36.88	1.326106269
H0443203	50.57	1.706892801
H0443206	45.29	1.552943479
H0443208	56.77	1.888999379
H0443209	120.64	2.865753574
H0443211	80.89	2.479530991
H0443213	43.65	1.50637058
H0443216	57.96	1.92340732
H0443302	115.16	2.842503226
H0443305	53.7	1.799177902
H0443306	77.49	2.413510377
H0443312	87.5	2.589931586
H0443313	160.03	2.948948257
H0443403	40.57	1.421566846
H0443409	56.45	1.879700329
H0443413	85.49	2.558825935
H0443415	129.08	2.892565365
H0443416	122.49	2.872442942
H0443423	23.9	1.073364512
H0444102	56.2	1.872423119
H0444110	73.52	2.328462695
H0444111	15.81	1.004722383
H0444113	114.16	2.837623134
H0444116	37.78	1.348663284
H0444118	94.74	2.685207094
H0444204	70.18	2.250486951
H0444209	52.58	1.766178945
H0444212	82.81	2.514019288
H0444219	62.51	2.051639677
H0444310	108	2.802272879
H0444312	77.7	2.417771514
H0444313	71.87	2.290654404
H0444322	46.04	1.574497594
H0444323	44.5	1.530405615
H0444408	159.37	2.948019341
H0444410	103.29	2.767966086
H0444418	166.93	2.958442353
H0444419	144.27	2.92481012
H0444421	48.88	1.657180107
H0451104	225.59	3.035196716
H0451111	104.87	2.780267092
H0451112	294.72	3.125066
H0451113	130.04	2.895093704
H0451202	63.93	2.090295268
H0451204	117.55	2.853329735
H0451207	35.41	1.290400998
H0451208	27.46	1.127022942
H0451214	144.46	2.925137242
H0451307	77.62	2.416151064
H0451310	108.92	2.808185507
H0451315	63.32	2.073780497
H0451406	52.12	1.752611024
H0451407	41.61	1.449755137
H0451410	57.71	1.916202982
H0452107	62.36	2.047513962
H0452109	54.99	1.8370665
H0452110	156.57	2.944024324
H0452117	90.35	2.630480974
H0452118	95.95	2.698737823
H0452204	71.4	2.27962804
H0452210	106.98	2.79543075
H0452213	71.61	2.284568612
H0452214	48.19	1.636967871
H0452304	43.26	1.495424457
H0452312	60.52	1.996298226
H0452404	45.09	1.547220784
H0452408	61.64	2.027603671
H0452410	39.2	1.385238942
H0452412	71.71	2.286913383
H0452413	77.37	2.411064631
H0453101	62.95	2.063696078
H0453102	45.39	1.555808927
H0453103	59.5	1.967462376
H0453107	61.61	2.026770323
H0453108	61.68	2.028714342
H0453112	113.84	2.836015243
H0453113	74.42	2.348484016
H0453115	71.48	2.281512803
H0453117	56.77	1.888999379
H0453119	52.52	1.764409524
H0453202	56.67	1.886095387
H0453204	63.81	2.087057563
H0453205	103.44	2.769170244
H0453210	75.11	2.363541839
H0453211	104.84	2.780041275
H0453214	102.97	2.765371159
H0453215	36.34	1.312820853
H0453303	46.03	1.57420928
H0453305	73.43	2.32643703
H0453307	76.4	2.391006819
H0453308	65.37	2.128706574
H0453314	56.12	1.870092225
H0453412	82.42	2.507176293
H0453415	93.63	2.672219337
H0454103	134.46	2.905699818
H0454111	99.12	2.731228794
H0454204	98.77	2.727843954
