aacode	floorx	SAP_hhsizex
H0933403	39.89	1.403415116
H0933404	54.1	1.810943285
H0933405	52.68	1.769127719
H0933408	70.3	2.253386148
H0934101	89.8	2.622973161
H0934102	64.46	2.104528613
H0934104	66.36	2.154620487
H0934106	71.09	2.272294001
H0934109	65.83	2.140798986
H0934110	59.29	1.961489913
H0934111	97.34	2.713499209
H0934203	93.66	2.672577731
H0934205	75.11	2.363541839
H0934206	91.62	2.647251169
H0934208	80.06	2.463998578
H0934212	53.5	1.793290583
H0934213	139.83	2.916760681
H0934301	115.13	2.842359946
H0934305	71.64	2.285272578
H0934310	119.46	2.861203753
H0934312	71.93	2.292053912
H0934401	98.97	2.729784124
H0934403	86.74	2.578418368
H0934404	59.82	1.976540421
H0934406	85.68	2.56185699
H0934408	74.88	2.358550862
H0934410	67.32	2.179344149
H0934411	63.37	2.075139407
H0941102	37.84	1.35018489
H0941104	112.73	2.830257346
H0941201	85.07	2.552057843
H0941310	64.79	2.113335068
H0941405	116.17	2.84721779
H0941413	54.27	1.815939375
H0942107	58.92	1.95093904
H0942109	103.83	2.77226493
H0942307	77.94	2.422611879
H0943103	64.75	2.112269934
H0943108	45.34	1.554375866
H0943109	95.94	2.698628628
H0943408	103.72	2.771397326
H0943409	84.81	2.547821092
H0944103	59.63	1.9711537
H0944110	77.19	2.40738128
H0944204	65.1	2.121567949
H0944207	64.26	2.099170393
H0944208	76.78	2.398925516
H0944209	79.15	2.446535242
H0944301	39.06	1.381582131
H0944304	140.68	2.918367526
H0944308	62.92	2.062876244
H0944309	58.53	1.939780664
H0944310	95.6	2.694890116
H0944312	91.51	2.645829536
H0944407	75.24	2.366350272
H0951103	77.57	2.415136507
H0951107	45.55	1.560399192
H0951201	76.25	2.387859438
H0951205	46.08	1.575651087
H0951207	97.24	2.71246454
H0951301	74.85	2.357897775
H0951306	77.45	2.412696001
H0951307	80.28	2.468152353
H0951308	76.39	2.390797374
H0951403	40.56	1.421298257
H0952102	51.2	1.725469822
H0952109	57.07	1.897700247
H0952202	61.19	2.015072887
H0952303	49.47	1.674507737
H0952307	115.22	2.842789215
H0952308	69.55	2.235150333
H0952310	44.09	1.518782875
H0952407	75.1	2.363325429
H0953105	79.14	2.446340816
H0953107	69.42	2.231961604
H0953203	86.48	2.574410666
H0953209	74.29	2.345618587
H0953310	64.36	2.101851466
H0954206	66.75	2.164713508
H0954209	52.33	1.758805683
H0954304	110.94	2.820352036
H0954305	88.07	2.598370794
H0954408	55.28	1.845558975
H0961104	79.63	2.455803245
H0961206	58.59	1.941499752
H0961306	80.13	2.46532311
H0961309	47.79	1.625281596
H0961402	68.35	2.205409033
H0961404	77.82	2.420195632
H0961406	132.55	2.901310359
H0961407	65.51	2.132396232
H0961408	77.07	2.4049159
H0961411	37.38	1.338575454
H0962102	74.69	2.354406516
H0962103	56.79	1.889579959
H0962104	235.18	3.047663933
H0962105	100.48	2.743925109
H0962108	129.24	2.892992947
H0962110	62.41	2.048890069
H0962202	79.06	2.44478343
H0962207	149.35	2.933169417
H0962213	90.05	2.626404351
H0962401	78.6	2.435760397
H0963101	105.35	2.783840394
H0963107	89.84	2.623524235
H0963109	160.53	2.949649093
H0963110	62.28	2.045310392
H0963203	66.69	2.163165066
H0963205	60.1	1.984460419
H0963206	67.23	2.177043688
H0963208	62.86	2.061235605
H0963211	54.96	1.836187369
H0963303	106.63	2.793011312
H0963305	170.58	2.96334926
H0963308	119.83	2.862655252
H0963311	107.67	2.800092808
H0963313	103.42	2.769010137
H0963401	74.58	2.35199834
H0963402	108.48	2.805387726
H0963404	64.69	2.110671031
H0963405	65.21	2.124479893
H0963407	71.91	2.291587614
H0963409	94.32	2.680358415
H0963410	53.69	1.798883605
H0964201	99.71	2.736825016
H0964203	100.09	2.740357462
H0964304	157.07	2.944744713
H0964309	123.34	2.875346967
H0964401	82.69	2.511922543
H0964404	65.49	2.131869637
H0971114	73.46	2.327112725
H0971115	53.74	1.800355017
H0971117	53.5	1.793290583
H0971202	129.46	2.893576781
H0971203	76.78	2.398925516
H0971205	63	2.065061748
H0971206	80.56	2.473400629
H0971208	149.39	2.933232424
H0971215	82.84	2.514542254
H0971302	62.34	2.046963277
H0971307	131.21	2.898059304
H0971311	77.03	2.404092362
H0971316	128.82	2.891865128
H0971320	54.43	1.820639055
H0971401	51.41	1.731664584
H0971406	79.08	2.445173105
H0971407	55.39	1.848777403
H0971412	61.21	2.015631187
H0971413	51.83	1.744055521
H0972101	108.16	2.803318508
H0972111	329.35	3.170085
H0972112	37.57	1.343354906
H0972113	144.41	2.92505128
H0972201	79.22	2.447894693
H0972204	80.19	2.466456287
H0972208	81.91	2.498103022
H0972210	79.51	2.453498086
H0972213	53.4	1.790345896
H0972214	160.48	2.949579118
H0972302	40.73	1.425870791
H0972314	95.24	2.69087655
H0972404	190.19	2.989142721
H0972406	89.15	2.613906348
H0972409	63.15	2.069153319
H0972415	138.94	2.915040362
H0973102	79.59	2.455035736
H0973104	68.7	2.214154167
H0973110	100.82	2.746988184
H0973111	63.49	2.078397006
H0973113	73.97	2.33852697
H0973203	134.61	2.906033233
H0973204	83.02	2.517669811
H0973205	108.56	2.805900473
H0973208	106.18	2.78984552
H0973211	127.13	2.887142995
H0973212	57.13	1.899438367
H0973213	162.44	2.952305328
H0973304	20.16	1.032044739
H0973313	103.41	2.768930033
H0973315	87.85	2.595133327
H0973316	137.14	2.911432469
H0973401	63.45	2.077311735
H0973403	109.5	2.811791172
H0973404	49.91	1.687451432
H0973408	132.83	2.901971195
H0973411	83.03	2.51784305
H0973414	51.92	1.74671075
H0974104	81.75	2.495227316
H0974108	40.08	1.408463648
H0974206	63.71	2.084355289
H0974208	147.98	2.9309874
H0974209	171.16	2.96412387
H0974210	69.79	2.241015696
H0974211	57.23	1.90233367
H0974307	112.17	2.82724282
H0974310	73.59	2.330035265
H0974316	51.82	1.743760494
H0974404	45.76	1.566434007
H0974412	83.8	2.531020172
H0981101	113	2.831684171
H0981105	351.9	3.1994
H0981107	94.15	2.678373242
H0981111	63.92	2.09002567
H0981303	122.97	2.874095425
H0981308	88.72	2.607791731
H0981314	94.28	2.679892492
H0981407	95.19	2.690314595
H0982101	41.8	1.454957357
H0982103	45.79	1.567297038
H0982104	83.92	2.533044963
H0982106	80.81	2.478050315
H0982108	165.71	2.956787521
H0982110	93.04	2.66508656
H0982112	91.06	2.63995302
H0982304	87.85	2.595133327
H0982305	73.6	2.330259707
H0982406	144.93	2.925941058
H0982408	106.57	2.792592806
H0982412	52.35	1.759395604
H0983102	68.64	2.212659091
H0983107	78.08	2.42542088
H0983108	61.12	2.013117847
H0983112	49.24	1.667748604
H0983202	79.26	2.448670315
H0983207	49.17	1.665692524
H0983209	100.67	2.745642212
H0983211	50.88	1.716032162
H0983305	47.85	1.62703294
H0983306	37.94	1.352725723
H0983307	151.23	2.936091206
H0983309	79.75	2.45810051
H0983401	81.82	2.496487155
H0983402	56.09	1.869217873
H0983409	63.84	2.087867505
H0983410	104.11	2.774454891
H0983413	169.52	2.961930264
H0984106	38.5	1.367063851
H0984107	46.28	1.581424189
H0984110	93.67	2.672697104
H0984202	138.57	2.914313202
H0984204	160.66	2.949830918
H0984205	56.02	1.86717716
H0984208	117.19	2.85177082
H0984209	68.78	2.216144957
H0984305	43.55	1.503558777
H0984306	115.44	2.843831375
H0984311	132.63	2.901499802
H0984313	61.1	2.012558981
H0984401	62.75	2.058224422
H0984408	63.15	2.069153319
H0984411	119.4	2.860966188
H0991103	257.41	3.076562998
H0991105	75.6	2.374080041
H0991106	114.83	2.840916637
H0991107	166.47	2.95781938
H0991109	84.67	2.545524842
H0991207	87.75	2.593653545
H0991209	71.43	2.280335206
H0991309	84.94	2.549943967
H0991402	80.14	2.46551211
H0991406	75.69	2.376001573
H0991407	120.18	2.864007221
H0991411	73.33	2.324181299
H0992111	61.8	2.032043196
H0992113	226.96	3.036977768
H0992209	90.34	2.630345801
H0992305	72.61	2.307785627
H0992306	77.09	2.405327342
H0992307	97.47	2.714838038
H0992309	74.93	2.359638268
H0992404	134.74	2.906320924
H0992407	71.65	2.285507132
H0992411	152.8	2.938474612
H0993102	54.94	1.835601222
H0993106	73.01	2.316927736
H0993107	89.8	2.622973161
H0993203	100.74	2.746271387
H0993208	104.67	2.778756077
H0993211	93.07	2.665453135
H0993212	101.68	2.754543103
H0993214	90.01	2.625857443
H0993301	71.71	2.286913383
H0993302	71.79	2.288785528
H0993303	140.83	2.91864758
H0993305	75.28	2.367212579
H0993306	55.3	1.846144264
H0993308	109.19	2.809875539
H0993406	33.89	1.25509071
H0993408	286.41	3.114263
H0993411	64.95	2.117589158
H0994102	46.73	1.594446554
H0994104	48.31	1.640478437
H0994107	112.27	2.82778665
H0994108	95.77	2.696765667
H0994109	47.86	1.627324887
H0994110	217.02	3.024055018
H0994112	98.68	2.726965656
H0994203	111.33	2.822577867
H0994204	72.26	2.29971819
H0994206	81.24	2.48596779
H0994213	69.06	2.223088819
H0994302	118.72	2.858230308
H0994304	175.86	2.970361917
H0994305	65.2	2.124215376
H0994307	51.01	1.719865858
H0994309	144.72	2.925582842
H0994401	70.52	2.258682854
H0994403	103.4	2.768849894
H0994409	57.7	1.915914528
H1001102	82.84	2.514542254
H1001106	98.61	2.726280286
H1001107	75.64	2.374934595
H1001205	64.29	2.099975126
H1001207	135.47	2.907915007
H1001212	80.93	2.480270015
H1001301	57.44	1.908407321
H1001306	77.72	2.41817608
H1001308	94.55	2.683023464
H1002103	62.05	2.038962911
H1002109	82.54	2.509290625
H1002112	69.52	2.234415198
H1002113	56.45	1.879700329
H1002201	86.47	2.574255818
H1002203	80.87	2.47916115
H1002307	74.54	2.351121039
H1002409	140.32	2.917691154
H1003105	79.72	2.457526934
H1003107	61.34	2.019257039
H1003108	67.09	2.173457975
H1003203	81.12	2.483768433
H1003206	76.99	2.403267954
H1003209	67.59	2.18622361
H1003302	42.64	1.478137404
H1003305	105.56	2.785380385
H1003307	79.96	2.46210173
H1003309	105.36	2.783914047
H1003403	73.84	2.335630498
H1003405	40.48	1.419151294
H1003407	78.89	2.441462339
H1004103	69.65	2.237597635
H1004209	33.14	1.238314788
H1004301	91.82	2.649821087
H1004304	65.49	2.131869637
H1004306	76.32	2.389329735
H1004401	41.14	1.436954769
H1004402	77.28	2.409225164
H1004406	109.69	2.81295232
H1004410	82.5	2.508586717
H1004411	88.15	2.599541912
H1004413	104.56	2.777919413
H1011102	60.36	1.991794661
H1011103	79.26	2.448670315
H1011106	87.79	2.594246074
H1011108	87.15	2.584666653
H1011111	215.84	3.02252084
H1011113	128.89	2.892054317
H1011201	64.08	2.094334637
H1011202	123.64	2.876347811
H1011203	60.43	1.9937659
H1011204	72.46	2.304335912
H1011207	73.71	2.332725093
H1011312	101.75	2.75514604
H1011404	66.65	2.162131893
H1011405	75.31	2.367858744
H1011410	44.35	1.526147246
H1012102	110.64	2.818613401
H1012202	62.46	2.050265309
H1012212	55.15	1.841753324
H1012213	42.35	1.470102327
H1012303	84.3	2.539405768
H1012305	136.48	2.910063009
H1012408	47.95	1.629953126
H1012409	70.13	2.249276857
H1012411	76.6	2.395184334
H1013204	70.64	2.261561843
H1013207	140.73	2.918460992
H1013208	124.04	2.877663261
H1013210	66.17	2.149679449
H1013212	350.27	3.197281
H1013214	63.25	2.071876474
H1013310	112.58	2.829457232
H1013312	171.72	2.96487063
H1013313	99.51	2.734943298
H1013401	49.42	1.673037927
H1013406	76.76	2.398510699
H1013407	99.3	2.732950629
H1013412	83.88	2.532370893
H1013414	86.99	2.582238694
H1014104	93.29	2.668128581
H1014111	80.42	2.470781859
H1014201	66.31	2.153321724
H1014204	75.29	2.367428021
H1014205	49.15	1.665105166
H1014210	88.38	2.602890679
H1014211	36.32	1.312332501
H1014301	91.85	2.650204924
H1014303	64.5	2.105598367
H1014314	56.64	1.885223838
H1014408	94.97	2.687828845
H1014409	82.11	2.501678039
H1014410	124.57	2.879373531
H1021102	138.94	2.915040362
H1021104	73.68	2.332053348
H1021201	365.17	3.216651
H1021202	88.16	2.599688072
H1021203	121.36	2.868419259
H1021210	68.56	2.210663018
H1021211	75.47	2.371296784
H1021301	81.78	2.495767574
H1021304	81.25	2.486150715
H1021306	127.7	2.888769636
H1021308	280.31	3.106333
H1021406	45.34	1.554375866
H1021409	58.12	1.928010862
H1021411	57.02	1.896251284
H1021412	90.53	2.632905676
H1021413	229.53	3.040318842
H1021414	31.34	1.199921427
H1022101	101.44	2.752462272
H1022103	88.27	2.60129246
H1022105	46.37	1.584025088
H1022107	54.75	1.830030471
H1022202	99.25	2.732473626
H1022203	45.24	1.551511771
H1022206	129.08	2.892565365
H1022208	89.76	2.622421292
H1022311	92.49	2.658291474
H1022401	81.58	2.492156583
H1022402	118.12	2.855748395
H1022406	182.01	2.978451371
H1022408	89.26	2.615455596
H1022411	36.75	1.32289048
H1022412	69.84	2.242234119
H1023102	95.76	2.696655689
H1023103	104.54	2.777766864
H1023105	125.69	2.882869724
H1023108	74.29	2.345618587
H1023110	88.92	2.610647343
H1023201	152.7	2.938324205
H1023204	67.7	2.18901687
H1023205	66.37	2.154880109
H1023206	28.77	1.150041531
H1023208	137.97	2.913118419
H1023209	192.69	2.992401853
H1023302	65.7	2.137390554
H1023303	65.56	2.133711991
H1023304	69.78	2.240771866
H1023306	80.63	2.47470599
H1023307	96.62	2.705955698
H1023309	71.31	2.277503805
H1023311	203.55	3.006538777
H1023403	145.85	2.927493164
H1023408	635.45	3.568015
H1023412	72.44	2.303875069
H1024103	90.18	2.628176341
H1024104	93.4	2.669457896
H1024109	125.52	2.882349073
H1024110	90.56	2.633308247
H1024111	92.87	2.663001377
H1024202	55.08	1.839703231
H1024302	72.57	2.306866843
H1024306	130.93	2.897360731
H1024308	108.49	2.805451918
H1024309	96.58	2.70553018
H1024311	92.68	2.660654895
H1024402	269.16	3.091838
H1024404	64.97	2.118120192
H1024410	377.49	3.232667
H1031111	67.44	2.182405758
H1031202	88.55	2.605348541
H1031206	103.33	2.768287954
H1031207	90.17	2.62804033
H1031208	63.87	2.088677103
H1031304	80.03	2.463430099
H1031307	44.59	1.532963961
H1031308	86.86	2.580256184
H1031310	109.16	2.809688754
H1031312	70.04	2.247095592
H1031403	74.47	2.349583708
H1031411	125.71	2.882930746
H1032102	55.97	1.865719034
H1032107	79.48	2.452920562
H1032204	75.89	2.380255992
H1032205	71.1	2.27253134
H1032206	139.39	2.915915174
H1032306	84.47	2.542226328
H1032405	47.19	1.607801997
H1033108	76.96	2.402649075
H1033112	61.75	2.030656752
H1033202	67.53	2.184697693
H1033205	82.2	2.503279692
H1033208	64.1	2.094872564
H1033209	53.85	1.803591448
H1033210	75.84	2.379194413
H1033212	108.14	2.803188208
H1033401	71.55	2.283159306
H1033404	67.94	2.195092055
H1033409	115.97	2.846300827
H1034102	45.68	1.564133701
H1034111	67.99	2.196354388
H1034209	39.55	1.394427314
H1034210	102.57	2.762077093
H1034302	43.88	1.512850739
H1034303	87.56	2.590827792
H1034304	80.24	2.467399094
H1034306	75.64	2.374934595
H1034308	78.31	2.430012386
H1034310	47.38	1.613330285
H1034311	199.85	3.001724892
H1034401	105.65	2.786036076
H1034406	78.73	2.438322138
H1041101	333.9	3.176
H1041103	64.2	2.097559874
H1041104	91.26	2.642576887
H1041109	68.02	2.197111235
H1041111	215.79	3.022455831
H1041112	57.8	1.918798108
H1041206	70.43	2.256518918
H1041208	60.23	1.988129985
H1041210	61.12	2.013117847
H1041212	82.41	2.506999746
H1041308	69.22	2.227039956
H1041310	89.35	2.616718647
H1041312	57.99	1.92427092
H1041408	80.68	2.475636748
H1041409	49.88	1.686568412
H1041410	54.43	1.820639055
H1042101	53.39	1.790051391
H1042107	58.97	1.952366877
H1042202	93.12	2.666063164
H1042207	100.28	2.742102811
H1042209	112.09	2.826806011
H1042211	83.02	2.517669811
H1042213	55.7	1.857838528
H1042303	74.39	2.347823562
H1042308	44.6	1.533248373
H1042310	132.5	2.901191699
H1042401	72.36	2.302029633
H1042405	102	2.757284832
H1042407	36.79	1.323878786
H1042411	136.06	2.909177654
H1043101	76.43	2.391634831
H1043104	98.4	2.724212328
H1043107	87.27	2.586478912
H1043113	103.53	2.76988902
H1043208	65.51	2.132396232
H1043302	94.3	2.680125544
H1043313	69.11	2.224324865
H1043401	68.71	2.214403181
H1043402	80.19	2.466456287
H1043406	47.27	1.610128883
H1043407	79.99	2.46267136
H1043410	77.54	2.414527118
H1044101	145.56	2.927006877
H1044105	50.67	1.709840545
H1044106	82.92	2.515934446
H1044108	65.12	2.122097761
H1044110	45.24	1.551511771
H1044111	90.23	2.628855653
H1044113	101.05	2.749035598
H1044212	115.51	2.844160851
H1044305	78.41	2.431999661
H1044311	133.01	2.902392771
H1044313	209.44	3.014199181
H1044315	114.32	2.838418558
H1044402	77.82	2.420195632
H1044403	101.73	2.754973954
H1044408	42.52	1.474808505
H1044409	82.35	2.50593932
H1044410	76.26	2.388069643
H1044413	89.16	2.61404744
H1044415	77.12	2.405944095
H1051205	112.11	2.826915359
H1051209	103.73	2.771476369
H1051303	54.26	1.815645562
H1051304	77.24	2.408406206
H1051305	72.67	2.309162248
H1051306	44.81	1.53922796
H1051403	49.5	1.675389733
H1051404	124.63	2.879564841
H1052101	55.94	1.864843971
H1052102	50.01	1.690395309
H1052103	81.64	2.493242171
H1052105	92.09	2.653260166
H1052107	54.87	1.83354933
H1052201	118.77	2.85843423
H1052208	26.49	1.111084994
H1052302	37.73	1.347396945
H1052404	118.44	2.857080134
H1052408	112.66	2.829884624
H1052410	80.61	2.474333304
H1053103	84.26	2.538739858
H1053105	57.71	1.916202982
H1053301	44.17	1.52104653
H1053303	215.31	3.02183175
H1053309	33.76	1.252151355
H1054101	68.05	2.197867666
H1054104	69.22	2.227039956
H1054106	78.8	2.439697702
H1054202	76.61	2.39539264
H1054203	49.47	1.674507737
H1054210	68.48	2.208663936
H1054301	61.01	2.010042536
H1054307	47.5	1.616825217
H1054401	72.91	2.314650019
H1054403	68.62	2.212160355
H1054405	81.63	2.493061376
H1054406	77.04	2.404298329
H1054408	99.11	2.731132761
H1054410	74.38	2.347603304
H1054411	69.15	2.225312841
H1061102	117.04	2.851113981
H1061106	95.35	2.692108965
H1061201	136.53	2.91016768
H1061213	78.76	2.438911995
H1061301	105.6	2.785672121
H1061305	72.88	2.313965688
H1061306	91.64	2.647509023
H1061404	37.48	1.341088168
H1061410	57.63	1.913894752
H1061411	110.41	2.817264659
H1061413	163.92	2.954343181
H1062102	39.33	1.388644094
H1062104	144.07	2.9244644
H1062111	55.76	1.859590699
H1062113	389.09	3.247747
H1062206	73.26	2.322599164
H1062210	57.34	1.905516215
H1062213	55.53	1.852871202
H1062301	84.97	2.550432582
H1062305	77.31	2.409838811
H1062307	127.41	2.88794649
H1062309	63.97	2.091373279
H1062401	149.03	2.932663968
H1063110	151.29	2.93618319
H1063210	76.72	2.397680413
H1063305	54.5	1.822694356
H1063411	40.5	1.419687744
H1064106	51.22	1.726059764
H1064202	61.91	2.035090449
H1064206	65.28	2.126330364
H1064208	30.86	1.190150198
H1064214	43.65	1.50637058
H1064304	106.58	2.792662633
H1064305	93.96	2.676139002
H1064307	180.22	2.976103081
H1064405	73.39	2.325535368
H1064410	60.24	1.988412058
H1064413	89.98	2.625446741
H1071101	69.27	2.228272171
H1071104	48.14	1.635505753
H1071107	78.3	2.429813357
H1071108	76.14	2.385543607
H1071110	80.17	2.466078781
H1071212	63.62	2.081920008
H1071307	43.7	1.507777778
H1071404	84.56	2.543713304
H1071406	225.1	3.034559695
H1071409	74.97	2.360507229
H1071410	80.07	2.464187961
H1072112	87.79	2.594246074
H1072204	42.98	1.487599522
H1072206	106.99	2.795499332
H1072208	75.26	2.366781533
H1072209	84.27	2.538906416
H1072210	84.61	2.544537532
H1072301	46	1.573344483
H1072305	77.49	2.413510377
H1072309	68.98	2.221108664
H1072404	35.66	1.296369096
H1072408	69.23	2.227286495
H1072412	43.37	1.498506362
H1073107	60.14	1.985590034
H1073108	67.1	2.173714388
H1073110	52.99	1.778266451
H1073111	82.65	2.511221892
H1073112	66.22	2.15098123
H1073201	118.14	2.855832174
H1073204	41.46	1.445659226
H1073207	132.33	2.900786754
H1073209	54.72	1.829150499
H1073210	62.5	2.051364873
H1073211	56.82	1.890450691
H1073304	82.14	2.502212413
H1073404	132.09	2.900211085
H1074102	55.26	1.844973633
H1074103	61.22	2.015910289
H1074104	68.32	2.20465678
H1074108	50.93	1.717506596
H1074109	41.43	1.444841234
H1074111	63.72	2.084625687
H1074201	85.21	2.554324275
H1074206	78.94	2.442440775
H1074208	54.92	1.835015026
H1074301	74.4	2.348043766
H1074302	79.19	2.4473124
H1074303	56.98	1.895091769
H1074305	45.92	1.571039421
H1074311	70.22	2.251454139
H1074409	74.99	2.360941388
H1074410	42.26	1.467615521
H1081102	120.85	2.866539503
H1081111	97.62	2.716374106
H1081113	70.17	2.250245031
H1081204	92.32	2.656162418
H1081205	73.66	2.331605254
H1081206	63.43	2.076768876
H1081211	47.24	1.609256161
H1081212	76.68	2.396849256
H1081213	91.62	2.647251169
H1081301	51.95	1.747595816
H1081304	100.25	2.74182815
H1081305	73.65	2.331381128
H1081306	22.06	1.051035979
H1081307	54.64	1.826803418
H1081308	49.52	1.675977777
H1081310	68.63	2.212409746
H1081312	87.98	2.597049373
H1081401	61.51	2.023990376
H1081406	43.13	1.49178786
H1082103	88.44	2.603759837
H1082203	98.07	2.720926553
H1082205	163.57	2.953862722
H1082207	57.75	1.917356586
H1082211	112.44	2.828705627
H1082306	167.83	2.959658002
H1082308	71.49	2.28174817
H1082311	62.07	2.039515581
H1082312	198.11	2.999460344
H1082405	106.02	2.788704786
H1082407	171.34	2.964364019
H1082413	187.24	2.985292868
H1082414	82.22	2.503635016
H1083110	35.63	1.29565061
H1083203	149.44	2.933311128
H1083208	63.11	2.068063034
H1083211	119.95	2.863121072
H1083301	28.91	1.152600456
H1083302	64.32	2.100779507
H1083306	64.46	2.104528613
H1083309	121.24	2.867980611
H1083310	44.95	1.543221559
H1083311	171.35	2.964377357
H1083401	157.19	2.944917125
H1083403	42.3	1.468720363
H1083411	155.67	2.942719124
H1084104	74.07	2.340748936
H1084205	46.1	1.576227976
H1084207	74.64	2.353312692
H1084302	109.45	2.811483977
H1084305	66.06	2.146811754
H1084308	76.75	2.398303209
H1084312	117.83	2.854525369
H1084313	62.9	2.062329508
H1084401	117.69	2.85392938
H1084406	61.19	2.015072887
H1084407	78.82	2.440090227
H1084410	151.17	2.935999148
H1084411	119.74	2.862304308
H1084413	140.23	2.917521111
H1091101	76.83	2.399961607
H1091103	54.57	1.824749148
H1091110	53.42	1.790934885
H1091201	143.89	2.924152023
H1091203	128.91	2.892108281
H1091205	135.47	2.907915007
H1091303	105.25	2.783102098
H1091304	71.24	2.27584879
H1091307	70.08	2.248065535
H1091309	62.96	2.063969284
H1091310	100.61	2.745101446
H1091313	82.8	2.513844857
H1091402	78.73	2.438322138
H1091404	61.58	2.025936681
H1091407	226.62	3.036535756
H1091409	182.79	2.979473403
H1091410	63.67	2.083273319
H1092202	65.98	2.144722909
H1092204	103.63	2.770684403
H1092206	55.63	1.855793662
H1092210	46.7	1.593577037
H1092211	85.93	2.565816177
H1092212	73.77	2.334067158
H1092214	118.84	2.858718979
H1092301	73.29	2.323277537
H1092310	114.13	2.837473363
H1092403	44.97	1.543792536
H1092404	218	3.025329146
H1092414	48.96	1.659527421
H1093101	206.16	3.009933605
H1093102	133.45	2.903412795
H1093104	68.19	2.201392172
H1093105	84.93	2.549780988
H1093110	75.86	2.379619207
H1093201	79	2.443613089
H1093202	67.82	2.192057763
H1093211	66.7	2.16342325
H1093303	64.78	2.113068844
H1093313	75.52	2.372368345
H1093314	96.24	2.701885666
H1093401	104.03	2.773831887
H1093402	142.58	2.921842048
H1093403	48.28	1.639600602
H1093408	83.11	2.519227011
H1094101	62.96	2.063969284
H1094104	74	2.339194116
H1094105	76.79	2.399132843
H1094106	46.73	1.594446554
H1094108	59.91	1.979088539
H1094110	81.13	2.483952013
H1094112	54.18	1.813294719
H1094116	84.93	2.549780988
H1094117	84.4	2.541066795
H1094203	90.98	2.638898041
H1094206	77.81	2.419993923
H1094207	125.34	2.881793944
H1094209	86.6	2.576264761
H1094210	54.59	1.825336136
H1094312	162.43	2.952291502
H1094313	53.49	1.792996143
H1094403	120.57	2.865490032
H1094405	79.91	2.461151251
H1101101	134.26	2.905252797
H1101105	120.98	2.867022525
H1101107	76.6	2.395184334
H1101110	76.16	2.385965155
H1101111	87.21	2.585573715
H1101203	139.58	2.916281458
H1101205	77.59	2.415542494
H1101209	51.42	1.73195959
H1101211	96.01	2.699392083
H1101213	77.66	2.416961726
H1101306	93.48	2.670421161
H1101404	78.23	2.428418624
H1101407	239.62	3.053435967
H1102103	102.39	2.7605763
H1102108	128.95	2.892216089
H1102110	78.28	2.429415136
H1102202	28.21	1.139995247
H1102207	61.35	2.019535728
H1102211	79.78	2.458673593
H1102301	84.94	2.549943967
H1102302	28.54	1.145878548
H1102308	105.07	2.781765039
H1102401	112.54	2.829242965
H1102403	82.31	2.505231282
H1102405	59.28	1.96120522
H1102409	70.6	2.260602976
H1102410	53.34	1.788578777
H1102412	91.03	2.639557767
H1103103	40.86	1.429376716
H1103104	56.41	1.878536685
H1103205	112.22	2.827515037
H1103207	110.77	2.819369657
H1103305	74.67	2.353969147
H1103307	62.11	2.040620513
H1103310	117.52	2.853200761
H1103311	143.19	2.922925857
H1103405	107.03	2.795773357
H1104102	67.5	2.183934122
H1104104	111.72	2.824765424
H1104105	74.55	2.351340444
H1104107	170.85	2.963710008
H1104108	170.15	2.962774165
H1104201	69.73	2.239551981
H1104203	199.14	3.000800918
H1104206	57.51	1.910429878
H1104208	129.55	2.893814269
H1104210	78.12	2.426221482
H1104303	86.12	2.56880314
H1104307	38.38	1.363975966
H1104309	80.35	2.469468448
H1104311	50.58	1.707187555
H1104409	91.08	2.640216279
H1111104	61.37	2.020093009
H1111106	39.27	1.38707135
H1111109	70.6	2.260602976
H1111203	36.95	1.327842369
H1111205	67.6	2.18647777
H1111208	74.71	2.354843672
H1111302	121.19	2.867797183
H1111407	70.26	2.252420538
H1111409	38.54	1.368094988
H1112101	127.62	2.888543472
H1112105	79.91	2.461151251
H1112109	93.69	2.672935712
H1112201	55.77	1.859882676
H1112203	188.14	2.98646795
H1112206	97.91	2.719317448
H1112207	61.74	2.030379364
H1112211	148.43	2.931709401
H1112304	97.71	2.717291272
H1112311	68.53	2.209913714
H1112404	95.39	2.692555794
H1112408	96.62	2.705955698
H1112409	79.31	2.449638611
H1112410	112.19	2.827351779
H1112411	60.11	1.984742866
H1112413	116.35	2.848036177
H1113101	105.27	2.783250015
H1113106	40.3	1.414332048
H1113109	78.41	2.431999661
H1113114	107.11	2.796319965
H1113205	126.51	2.885332571
H1113213	115.24	2.842884377
H1113301	100.26	2.741919742
H1113403	53.74	1.800355017
H1113404	79.4	2.451378088
H1113406	148.94	2.932521358
H1113409	101.34	2.751589007
H1113411	51.64	1.73844999
H1114101	68.55	2.210413297
H1114106	146.81	2.929084378
H1114110	54.22	1.814470216
H1114206	34.38	1.26628612
H1114207	51.37	1.730484572
H1114303	78.61	2.435957783
H1114305	88.25	2.601001213
H1114306	76.14	2.385543607
H1114308	75.68	2.375788285
H1114401	82.92	2.515934446
H1114402	24.05	1.075351432
H1114406	83.94	2.533381675
H1114412	102.88	2.7646349
H1121101	55.79	1.860466584
H1121111	123.11	2.874571234
H1121113	74.76	2.355935626
H1121201	91.09	2.640347835
H1121205	119.49	2.861322305
H1121207	61.09	2.012279501
H1121212	192.45	2.992089089
H1121407	247.36	3.06349799
H1121410	72.96	2.31578953
