code, e1, e2, p1, p2, form, floor_area, level, extract, trickle, extract2, trickle2, fans, horizon, gor_ehs,fuelpov,buildyear,tenure,agehr,rebate
H0082212,299.6389971,299.6389971,9.502283778,9.502283778,PurposeBuiltFlatLowRise,10,3,TRUE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatF,OwnerOccupied,CatE,TRUE
H0083102,639.8713876,639.8713876,9.874336588,9.874336588,Bungalow,10,4,FALSE,FALSE,TRUE,TRUE,3,1,3,TRUE,CatB,OwnerOccupied,CatF,TRUE
H0083202,283.2160098,283.2160098,11.45179854,11.45179854,Bungalow,10,4,FALSE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatE,OwnerOccupied,CatC,TRUE
H0084104,588.2175045,588.2175045,15.35081356,15.35081356,MidTerrace,10,4,FALSE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatB,OwnerOccupied,CatC,TRUE
H0084112,234.7084561,234.7084561,14.22574302,14.22574302,MidTerrace,10,4,TRUE,TRUE,TRUE,TRUE,2,1,3,FALSE,CatD,PrivateRented,CatC,TRUE
H0084413,145.7589146,145.7589146,11.31936971,11.31936971,PurposeBuiltFlatLowRise,10,3,TRUE,TRUE,TRUE,TRUE,3,1,3,FALSE,CatB,OwnerOccupied,CatC,TRUE
H0092211,655.0669194,655.0669194,16.67774531,16.67774531,Detached,10,4,FALSE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatA,PrivateRented,CatB,TRUE
H0094307,512.4421998,512.4421998,15.81735981,15.81735981,Detached,10,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatA,PrivateRented,CatC,TRUE
H0094401,553.9960237,553.9960237,23.30818525,23.30818525,MidTerrace,10,4,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatD,OwnerOccupied,CatC,TRUE
H0103103,402.7100505,402.7100505,19.99429031,19.99429031,EndTerrace,10,4,FALSE,TRUE,TRUE,TRUE,2,1,3,FALSE,CatE,OwnerOccupied,CatC,TRUE
H0104205,318.6228031,318.6228031,10.41380154,10.41380154,PurposeBuiltFlatLowRise,10,1,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatC,OwnerOccupied,CatC,TRUE
H0104405,294.6577126,294.6577126,11.60694327,11.60694327,PurposeBuiltFlatLowRise,10,1,FALSE,TRUE,TRUE,TRUE,1,1,3,FALSE,CatE,PrivateRented,CatB,TRUE
H0112204,985.0125165,985.0125165,13.79618634,13.79618634,Detached,10,4,FALSE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatC,OwnerOccupied,CatC,TRUE
H0113103,677.6847276,677.6847276,18.25700306,18.25700306,EndTerrace,10,4,FALSE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatD,LocalAuthority,CatF,TRUE
H0114205,459.0923866,459.0923866,16.53363854,16.53363854,Detached,10,4,FALSE,TRUE,TRUE,TRUE,5,1,3,TRUE,CatB,OwnerOccupied,CatC,TRUE
H0121106,645.7364721,645.7364721,19.07191106,19.07191106,MidTerrace,10,4,FALSE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatB,OwnerOccupied,CatE,TRUE
H0122107,117.5162342,117.5162342,10.44582421,10.44582421,PurposeBuiltFlatLowRise,10,2,TRUE,TRUE,TRUE,TRUE,4,1,3,FALSE,CatF,OwnerOccupied,CatB,TRUE
H0122303,370.7748172,370.7748172,12.58361284,12.58361284,EndTerrace,10,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatA,OwnerOccupied,CatB,TRUE
H0131113,634.2378251,634.2378251,14.07795989,14.07795989,Detached,9,4,FALSE,TRUE,TRUE,TRUE,5,1,3,FALSE,CatF,OwnerOccupied,CatD,TRUE
H0131211,511.6064706,511.6064706,22.89464153,22.89464153,Detached,9,4,FALSE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatC,OwnerOccupied,CatF,TRUE
H0131215,699.1057771,699.1057771,24.9815777,24.9815777,Detached,9,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatD,LocalAuthority,CatF,TRUE
H0132302,117.9580041,117.9580041,9.516285992,9.516285992,PurposeBuiltFlatLowRise,9,3,FALSE,FALSE,TRUE,TRUE,1,1,3,TRUE,CatD,OwnerOccupied,CatF,TRUE
H0133309,447.4816635,447.4816635,15.78995952,15.78995952,MidTerrace,9,4,FALSE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatE,OwnerOccupied,CatE,TRUE
H0134210,526.0547976,526.0547976,18.18396995,18.18396995,MidTerrace,9,4,TRUE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatD,OwnerOccupied,CatD,TRUE
H0134411,635.2569719,635.2569719,26.10654478,26.10654478,MidTerrace,9,4,FALSE,FALSE,TRUE,TRUE,1,1,3,TRUE,CatA,OwnerOccupied,CatE,TRUE
H0153205,384.2962973,384.2962973,14.32425115,14.32425115,MidTerrace,9,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatC,OwnerOccupied,CatF,TRUE
H0154112,793.2870392,793.2870392,15.36164374,15.36164374,Detached,9,4,TRUE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatE,OwnerOccupied,CatE,TRUE
H0154214,770.4353759,770.4353759,16.69874626,16.69874626,Detached,9,4,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatC,OwnerOccupied,CatF,TRUE
H0154404,445.2773078,445.2773078,18.0150249,18.0150249,SemiDetached,9,4,TRUE,TRUE,TRUE,TRUE,3,1,3,TRUE,CatC,OwnerOccupied,CatF,TRUE
H0162207,1115.766244,1115.766244,13.96474456,13.96474456,Detached,10,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatF,OwnerOccupied,CatD,TRUE
H0171104,395.4583364,395.4583364,9.06914496,9.06914496,PurposeBuiltFlatLowRise,9,1,TRUE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatD,OwnerOccupied,CatE,TRUE
H0172203,261.0823405,261.0823405,14.89612595,14.89612595,MidTerrace,9,4,TRUE,TRUE,TRUE,TRUE,1,1,3,FALSE,CatD,OwnerOccupied,CatD,TRUE
H0172312,386.3839079,386.3839079,13.50624304,13.50624304,EndTerrace,9,4,FALSE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatF,OwnerOccupied,CatB,TRUE
H0172411,362.2996478,362.2996478,15.68639197,15.68639197,EndTerrace,9,4,FALSE,TRUE,TRUE,TRUE,2,1,3,FALSE,CatB,LocalAuthority,CatD,TRUE
H0173211,145.0484792,145.0484792,10.55235173,10.55235173,PurposeBuiltFlatLowRise,9,1,TRUE,TRUE,TRUE,TRUE,3,1,3,FALSE,CatC,OwnerOccupied,CatB,TRUE
H0173216,1107.930543,1107.930543,20.00870467,20.00870467,Detached,9,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatD,OwnerOccupied,CatE,TRUE
H0173406,188.688294,188.688294,11.74601031,11.74601031,MidTerrace,9,4,FALSE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatD,RSL,CatD,TRUE
H0174210,936.8793235,936.8793235,17.69853065,17.69853065,EndTerrace,9,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatC,OwnerOccupied,CatF,TRUE
H0181403,994.3724618,994.3724618,18.76696133,18.76696133,Detached,9,4,TRUE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatB,OwnerOccupied,CatD,TRUE
H0181410,564.5795738,564.5795738,13.62110171,13.62110171,Bungalow,9,4,FALSE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatB,OwnerOccupied,CatC,TRUE
H0183207,599.8934667,599.8934667,15.79806904,15.79806904,Detached,9,4,TRUE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatE,OwnerOccupied,CatB,TRUE
H0184106,368.4823051,368.4823051,10.95116536,10.95116536,PurposeBuiltFlatLowRise,9,1,TRUE,TRUE,TRUE,TRUE,3,1,3,FALSE,CatC,RSL,CatB,TRUE
H0184309,148.2961245,148.2961245,7.431335937,7.431335937,PurposeBuiltFlatLowRise,9,1,FALSE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatC,PrivateRented,CatD,TRUE
H0184403,618.6248552,618.6248552,16.19300807,16.19300807,Detached,9,4,FALSE,TRUE,TRUE,TRUE,4,1,3,FALSE,CatA,PrivateRented,CatB,TRUE
H0191108,264.409637,264.409637,13.66950862,13.66950862,MidTerrace,9,4,FALSE,TRUE,TRUE,TRUE,3,1,3,FALSE,CatD,OwnerOccupied,CatE,TRUE
