Pollutant,Dwelling Type,Ventilation Type,b4,b3,b2,b1,b0
INPM2_5,Flat1,TE,-1.7596589088760082e-07,5.175311424753066e-06,0.0006536223021319338,-0.060197416939823896,4.594355032267035
INPM2_5,Flat1,E,1.1492808529311371e-06,-9.055649011396006e-05,0.00313844753431825,-0.10044821624283716,5.347838582674698
INPM2_5,Flat1,T,2.1987308864561194e-06,-0.00021983088516958863,0.010584122364577234,-0.39692151035502554,17.692628432189455
INPM2_5,Flat1,NOTE,3.812306536638965e-06,-0.00040225255372191464,0.019734853608640596,-0.6733994075280639,22.825101607994878
INPM2_5,Flat2,TE,1.318754086511794e-08,-2.9556875634375935e-07,6.538939806552254e-05,-0.011680459433033294,5.007842236387658
INPM2_5,Flat2,E,-1.455213268626959e-07,1.3509425753965602e-05,-0.0003709272410509227,-0.007044097073887446,5.08993629440234
INPM2_5,Flat2,T,8.557613742260888e-08,-8.446767334169233e-06,0.0005063381398744708,-0.03123808476404348,6.966110006297093
INPM2_5,Flat2,NOTE,-1.455213268626959e-07,1.3509425753965602e-05,-0.0003709272410509227,-0.007044097073887446,5.08993629440234
INPM2_5,Flat3,TE,3.60284814620005e-07,-2.7773699653609676e-05,0.0008354482295015123,-0.04926559493474163,5.975341807830955
INPM2_5,Flat3,E,3.47755247393428e-07,-3.1414639869470595e-05,0.00144080886262313,-0.06714182699839723,6.340300743370081
INPM2_5,Flat3,T,3.100888986548065e-06,-0.00021501489249487406,0.006030988351979469,-0.29270428382908403,25.192532167495877
INPM2_5,Flat3,NOTE,-2.425673530082982e-07,-1.0693770431145839e-05,0.0026891564921537317,-0.2467637977911422,24.9680826183865
INPM2_5,House1,TE,1.8056623250068438e-06,-0.00015905031485786611,0.00555462112883927,-0.10906135561744106,2.829592769150151
INPM2_5,House1,E,2.2379582184867016e-06,-0.0002090289508517535,0.007778911147044584,-0.15746589871009764,3.408536027364402
INPM2_5,House1,T,4.438730151293032e-06,-0.0004063482448132659,0.015008220170994836,-0.3103947825457774,6.4616324272050445
INPM2_5,House1,NOTE,4.256075725768665e-06,-0.00038727505833185364,0.014058774448280168,-0.27659070889122306,5.272412268031321
INPM2_5,House2,TE,2.109898106783163e-06,-0.0001881825367648523,0.0066321817718851105,-0.1288324299578498,3.570849601428362
INPM2_5,House2,E,3.1085917447608498e-06,-0.0002822816706240902,0.010004340966470331,-0.18681965436206388,4.151062447044203
INPM2_5,House2,T,6.816439417616611e-06,-0.0006030291416749325,0.0208831981297398,-0.39112867545522445,8.42891113229501
INPM2_5,House2,NOTE,9.670209896837247e-06,-0.0008608745218049335,0.02985481370079505,-0.5452295856082672,10.004911001316406
INPM2_5,House3,TE,1.703209683286738e-06,-0.00015436382030776987,0.005563015895192635,-0.11346260990375431,3.1079878910712218
INPM2_5,House3,E,3.232207411858814e-06,-0.00028446207092400563,0.009825153345244123,-0.18237358275143992,3.69606315441947
INPM2_5,House3,T,5.596303241215738e-06,-0.0005141292713665319,0.01940180728769904,-0.43571515864236554,9.812995707550943
INPM2_5,House3,NOTE,1.2797247747794723e-05,-0.001106857692594695,0.0377454603733427,-0.7111572787213761,12.086277380273332
INPM2_5,House4,TE,-2.507427603715675e-07,1.233120201541976e-05,0.00025403305672266316,-0.033309653897254946,2.6970382158673996
INPM2_5,House4,E,-2.2116746359934506e-06,0.00016389214268680598,-0.003922250666430483,0.01249122655987892,2.7104031801864603
