age,sex,population,all,cerebrovascular,cerebrovascular_ratio,cardiopulmonary,cardiopulmonary_ratio,lungcancer,lungcancer_ratio,myocardialinfarction,myocardialinfarction_ratio,wincerebrovascular,wincerebrovascular_ratio,wincardiovascular,wincardiovascular_ratio,winmyocardialinfarction,winmyocardialinfarction_ratio
87,FEMALE,111900,10826,503.6020671,0.092,4165.67028,0.083,306,0.039,906.8553827,0.046,38.39793295,0.092,192.3297202,0.076,69.14461726,0.046
88,FEMALE,105800,11433,463.2767355,0.092,3963.74039,0.083,264.4,0.039,854.0793728,0.046,35.32326452,0.092,182.4596095,0.076,65.12062724,0.046
89,FEMALE,87000,11886,422.9514039,0.092,3761.810501,0.083,222.8,0.039,801.3033628,0.046,32.24859608,0.092,172.5894988,0.076,61.09663722,0.046
90,FEMALE,61600,11518,382.6260723,0.092,3559.880612,0.083,181.2,0.039,748.5273528,0.046,29.17392765,0.092,162.719388,0.076,57.0726472,0.046
91,FEMALE,46200,7629,342.3007408,0.092,3357.950723,0.083,139.6,0.039,695.7513428,0.046,26.09925922,0.092,152.8492773,0.076,53.04865718,0.046
92,FEMALE,40500,6780,301.9754092,0.092,3156.020833,0.083,98,0.039,642.9753328,0.046,23.02459079,0.092,142.9791666,0.076,49.02466716,0.046
93,FEMALE,35300,6800,270.1363609,0.092,2861.806305,0.083,86.4,0.039,579.0494616,0.046,20.5969724,0.092,129.1936946,0.076,44.1505384,0.046
94,FEMALE,29200,6429,238.2973127,0.092,2567.591777,0.083,74.8,0.039,515.1235904,0.046,18.169354,0.092,115.4082227,0.076,39.27640964,0.046
95,FEMALE,22800,5647,206.4582644,0.092,2273.377249,0.083,63.2,0.039,451.1977191,0.046,15.74173561,0.092,101.6227508,0.076,34.40228088,0.046
96,FEMALE,16900,4809,174.6192161,0.092,1979.162721,0.083,51.6,0.039,387.2718479,0.046,13.31411722,0.092,87.83727889,0.076,29.52815213,0.046
97,FEMALE,12100,3845,142.7801678,0.092,1684.948193,0.083,40,0.039,323.3459766,0.046,10.88649882,0.092,74.05180697,0.076,24.65402337,0.046
98,FEMALE,8400,2797,110.9411196,0.092,1390.733665,0.083,28.4,0.039,259.4201054,0.046,8.458880432,0.092,60.26633506,0.076,19.77989461,0.046
99,FEMALE,5700,2032,79.10207129,0.092,1096.519137,0.083,16.8,0.039,195.4942341,0.046,6.031262039,0.092,46.48086314,0.076,14.90576585,0.046
100,FEMALE,3700,1492,57.43867923,0.092,863.1017026,0.083,10,0.039,148.6648168,0.046,4.379502584,0.092,35.98920653,0.076,11.33518316,0.046
101,FEMALE,2300,1043,45.95094339,0.092,690.4813621,0.083,8,0.039,118.9318535,0.046,3.503602067,0.092,28.79136522,0.076,9.068146526,0.046
102,FEMALE,1400,680,34.46320754,0.092,517.8610215,0.083,6,0.039,89.19889011,0.046,2.62770155,0.092,21.59352392,0.076,6.801109895,0.046
103,FEMALE,800,434,22.97547169,0.092,345.240681,0.083,4,0.039,59.46592674,0.046,1.751801034,0.092,14.39568261,0.076,4.534073263,0.046
104,FEMALE,400,231,11.48773585,0.092,172.6203405,0.083,2,0.039,29.73296337,0.046,0.875900517,0.092,7.197841305,0.076,2.267036632,0.046
105,FEMALE,400,250,0,0.092,0,0.083,0,0.039,0,0.046,0,0.092,0,0.076,0,0.046
