disease,age,sex,agesex,n_a,n_b,n_c,p_a,p_b,p_c,morbidity
HeartAttack,30,MALE,30MALE,0.0349973576,-0.0350610264,6.3668828792414E-005,0.0341888125,-0.0342513352,6.25212376731365E-005,0.1035568642
HeartAttack,31,MALE,31MALE,0.0388192145,-0.0388989345,0.00007972,0.0378716296,-0.037949844,7.82123375782036E-005,0.1035568642
HeartAttack,32,MALE,32MALE,0.0430137588,-0.0431134944,9.97356398211084E-005,0.0419281256,-0.0420259226,0.000097794,0.1035568642
HeartAttack,33,MALE,33MALE,0.0476218072,-0.0477465417,0.0001247345,0.0464007665,-0.0465230422,0.0001222716,0.1035568642
HeartAttack,34,MALE,34MALE,0.0526764487,-0.0528324413,0.0001559926,0.0513271592,-0.051480073,0.0001529079,0.1035568642
HeartAttack,35,MALE,35MALE,0.0582272195,-0.0584222372,0.0001950177,0.0567528524,-0.0569440404,0.0001911797,0.1035568642
HeartAttack,36,MALE,36MALE,0.0642879737,-0.0645313077,0.000243334,0.0626888053,-0.0629273926,0.0002385755,0.1035568642
HeartAttack,37,MALE,37MALE,0.0708806783,-0.0711833878,0.0003027095,0.0691514489,-0.0694482786,0.000296813,0.1035568642
HeartAttack,38,MALE,38MALE,0.0780255886,-0.0784010062,0.0003754176,0.0761630879,-0.0765312278,0.0003681166,0.1035568642
HeartAttack,39,MALE,39MALE,0.0857423111,-0.0862066666,0.0004643555,0.0837483305,-0.084203688,0.0004553249,0.1035568642
HeartAttack,40,MALE,40MALE,0.0940337727,-0.0946066943,0.0005729216,0.0919077374,-0.0924695169,0.000561734,0.1035568642
HeartAttack,41,MALE,41MALE,0.1029009858,-0.1036059022,0.0007049164,0.1006287615,-0.1013197941,0.0006909692,0.1035568642
HeartAttack,42,MALE,42MALE,0.1123186273,-0.1131825048,0.0008638775,0.1098763058,-0.1107227579,0.0008463641,0.1035568642
HeartAttack,43,MALE,43MALE,0.1222036,-0.1232564922,0.0010528922,0.1195507475,-0.1205815948,0.0010307262,0.1035568642
HeartAttack,44,MALE,44MALE,0.1324730113,-0.1337484724,0.0012754611,0.1295571932,-0.1308045777,0.001247219,0.1035568642
HeartAttack,45,MALE,45MALE,0.1430815673,-0.1446172838,0.0015357165,0.1398337543,-0.1413335084,0.0014995296,0.0911047107
HeartAttack,46,MALE,46MALE,0.1538881146,-0.1557244491,0.0018363345,0.1502378314,-0.1520280494,0.0017899161,0.0911047107
HeartAttack,47,MALE,47MALE,0.1646951944,-0.1668697425,0.0021745481,0.1605778569,-0.1626936356,0.002115379,0.0911047107
HeartAttack,48,MALE,48MALE,0.1752278171,-0.1777702033,0.0025423862,0.1705963988,-0.1730648742,0.0024679567,0.0911047107
HeartAttack,49,MALE,49MALE,0.1851990365,-0.1881325141,0.0029334777,0.1800402887,-0.1828822716,0.0028413223,0.0911047107
HeartAttack,50,MALE,50MALE,0.1946873328,-0.1980425993,0.0033552666,0.1889915585,-0.1922346325,0.0032422394,0.0911047107
HeartAttack,51,MALE,51MALE,0.2037953913,-0.2076075285,0.0038121374,0.1975494215,-0.201224972,0.0036745034,0.0911047107
HeartAttack,52,MALE,52MALE,0.212387447,-0.2166806022,0.0042931554,0.2055902424,-0.2097189115,0.0041273717,0.0911047107
HeartAttack,53,MALE,53MALE,0.2202954583,-0.225080027,0.0047845689,0.2129690259,-0.2175581796,0.0045875711,0.0911047107
HeartAttack,54,MALE,54MALE,0.2273543365,-0.2326294057,0.0052750694,0.219528679,-0.224574626,0.0050440459,0.0911047107
HeartAttack,55,MALE,55MALE,0.2336416064,-0.2394036949,0.0057620888,0.2253318188,-0.230827933,0.0054938581,0.0911047107
HeartAttack,56,MALE,56MALE,0.2392260716,-0.2454703763,0.0062443049,0.2304293055,-0.2363669957,0.0059350372,0.0911047107
HeartAttack,57,MALE,57MALE,0.2442284021,-0.2509445979,0.0067161962,0.2349243471,-0.2412892432,0.006361807,0.0911047107
HeartAttack,58,MALE,58MALE,0.24849388,-0.2556573667,0.0071634871,0.2386039141,-0.2453672063,0.0067597399,0.0911047107
HeartAttack,59,MALE,59MALE,0.2520603722,-0.2596337039,0.0075733321,0.2414347586,-0.2485551547,0.0071163766,0.0911047107
HeartAttack,60,MALE,60MALE,0.2550150461,-0.2629569582,0.0079419126,0.2433760218,-0.2508068776,0.0074263731,0.0888961765
HeartAttack,61,MALE,61MALE,0.2576132677,-0.2659095233,0.0082962561,0.2446138869,-0.252330374,0.0077114974,0.0888961765
HeartAttack,62,MALE,62MALE,0.2597320023,-0.2683768743,0.0086448726,0.2450354411,-0.2530178468,0.0079768281,0.0888961765
HeartAttack,63,MALE,63MALE,0.2614211151,-0.2704102416,0.0089891272,0.2448476132,-0.2530807394,0.0082268966,0.0888961765
HeartAttack,64,MALE,64MALE,0.2631829325,-0.2725177827,0.0093348509,0.2447701616,-0.2532533759,0.0084763402,0.0888961765
HeartAttack,65,MALE,65MALE,0.2633342046,-0.2727907185,0.0094565146,0.2430450471,-0.2515937752,0.0085417499,0.0888961765
HeartAttack,66,MALE,66MALE,0.2630623344,-0.2726342946,0.009571961,0.2408609873,-0.2494656335,0.0085975654,0.0888961765
HeartAttack,67,MALE,67MALE,0.2624783673,-0.2721650672,0.0096867006,0.2384215521,-0.2470786075,0.0086498684,0.0888961765
HeartAttack,68,MALE,68MALE,0.2615187599,-0.2713186541,0.009799895,0.2357156526,-0.2444207733,0.0086978239,0.0888961765
HeartAttack,69,MALE,69MALE,0.2600638006,-0.2699684033,0.0099046035,0.2324853503,-0.2412244988,0.0087317454,0.0888961765
HeartAttack,70,MALE,70MALE,0.257921538,-0.2679087325,0.0099871953,0.2282938153,-0.2370357012,0.0087343943,0.0747186139
HeartAttack,71,MALE,71MALE,0.2555269236,-0.2655926254,0.0100657026,0.2236328413,-0.2323637857,0.0087233669,0.0747186139
HeartAttack,72,MALE,72MALE,0.2528049184,-0.2629427249,0.0101378074,0.2185211856,-0.2272268377,0.0086979918,0.0747186139
HeartAttack,73,MALE,73MALE,0.2498228191,-0.2600297836,0.0102069653,0.213106159,-0.2217761224,0.0086622197,0.0747186139
HeartAttack,74,MALE,74MALE,0.2462903981,-0.256552642,0.0102622448,0.2072017232,-0.2158161446,0.0086066014,0.0747186139
HeartAttack,75,MALE,75MALE,0.2422437272,-0.2525476467,0.0103039205,0.2007890494,-0.20932556,0.0085286232,0.0747186139
HeartAttack,76,MALE,76MALE,0.2379481352,-0.2482898556,0.0103417214,0.1940002731,-0.2024413027,0.0084330784,0.0747186139
HeartAttack,77,MALE,77MALE,0.2330792681,-0.2434355073,0.0103562401,0.1863934438,-0.1947013307,0.0082998948,0.0747186139
HeartAttack,78,MALE,78MALE,0.2278932233,-0.2382509219,0.0103576996,0.1782529382,-0.18640095,0.0081399926,0.0747186139
HeartAttack,79,MALE,79MALE,0.222579638,-0.2329361868,0.0103565498,0.1699007793,-0.1778753868,0.0079665634,0.0747186139
HeartAttack,80,MALE,80MALE,0.2166972744,-0.2270335239,0.0103362505,0.1612122105,-0.1689931008,0.0077728314,0.0467283067
HeartAttack,81,MALE,81MALE,0.2106883589,-0.2210074378,0.01031908,0.1526250749,-0.1602129025,0.0075797447,0.0467283067
HeartAttack,82,MALE,82MALE,0.2046369129,-0.2149469557,0.0103100439,0.1442637661,-0.1516665143,0.0073946262,0.0467283067
HeartAttack,83,MALE,83MALE,0.1978776377,-0.2081486308,0.0102709942,0.1356612151,-0.1428608175,0.0071914592,0.0467283067
HeartAttack,84,MALE,84MALE,0.1910846115,-0.2013188538,0.0102342434,0.1273999972,-0.1344025084,0.0069943413,0.0467283067
HeartAttack,85,MALE,85MALE,0.1849575937,-0.1952039619,0.0102463693,0.1200923643,-0.1269333502,0.0068327487,0.0467283067
HeartAttack,86,MALE,86MALE,0.1793009385,-0.1896043507,0.0103034134,0.1134473289,-0.1201484455,0.0066927846,0.0467283067
HeartAttack,87,MALE,87MALE,0.1736358488,-0.1840101298,0.0103742822,0.1068509214,-0.1134043349,0.0065449992,0.0467283067
HeartAttack,88,MALE,88MALE,0.168447025,-0.1789172908,0.0104702672,0.1003098352,-0.1067117765,0.0063934632,0.0467283067
HeartAttack,89,MALE,89MALE,0.1639764146,-0.1745510743,0.010574661,0.0937365667,-0.0999704863,0.0062254291,0.0467283067
HeartAttack,90,MALE,90MALE,0.1629876702,-0.1739111576,0.0109234888,0.0896682813,-0.0958797989,0.0062028551,0.0467283067
HeartAttack,91,MALE,91MALE,0.164929597,-0.1764827488,0.0115531533,0.087953513,-0.0942812518,0.006318756,0.0467283067
HeartAttack,92,MALE,92MALE,0.1594931059,-0.1712151191,0.0117220148,0.0823432808,-0.0884647478,0.0061126914,0.0467283067
HeartAttack,93,MALE,93MALE,0.1537533135,-0.1655537325,0.0118004206,0.0756665388,-0.0814393941,0.0057645948,0.0467283067
HeartAttack,94,MALE,94MALE,0.1510958335,-0.1631523921,0.0120565603,0.0702110623,-0.0756611303,0.0054424259,0.0467283067
HeartAttack,95,MALE,95MALE,0.151957474,-0.1644969937,0.0125395215,0.0662419857,-0.0713917988,0.0051429423,0.0467283067
HeartAttack,96,MALE,96MALE,0.1523847359,-0.1653104719,0.0129257377,0.061937863,-0.0666127268,0.0046691898,0.0467283067
HeartAttack,97,MALE,97MALE,0.1521839701,-0.1653560599,0.0131720915,0.0569818515,-0.0609353467,0.0039494,0.0467283067
HeartAttack,98,MALE,98MALE,0.1498182493,-0.1628847734,0.0130665257,0.0501807665,-0.0531259465,0.0029427889,0.0467283067
HeartAttack,99,MALE,99MALE,0.1519041256,-0.164912621,0.0130084968,0.0430586575,-0.0449688291,0.00190908,0.0467283067
HeartAttack,100,MALE,100MALE,0.1487075558,-0.160572819,0.0118652644,0.032817667,-0.033773528,0.000955523,0.0467283067
HeartAttack,101,MALE,101MALE,0.1510256708,-0.1613348209,0.0103091509,0.0241012591,-0.0244926335,0.0003913007,0.0467283067
HeartAttack,102,MALE,102MALE,0.1343624479,-0.1411965029,0.0068340555,0.0150988411,-0.0152127749,0.0001139242,0.0467283067
HeartAttack,103,MALE,103MALE,0.0837721378,-0.0862102659,0.0024381282,0.0068854226,-0.0069046454,1.92223005588595E-005,0.0467283067
HeartAttack,104,MALE,104MALE,0.0239847076,-0.0242102971,0.0002255895,0.0016406118,-0.0016416849,1.07308341167475E-006,0.0467283067
HeartAttack,105,MALE,105MALE,0,0,0,0,0,0,0.0467283067
HeartAttack,0,FEMALE,0FEMALE,0.0005211867,-0.0005211981,1.14289825367051E-008,0.0003470293,-0.0003470382,8.93806319170285E-009,0.0030213566
HeartAttack,1,FEMALE,1FEMALE,0.000458756,-0.0004587684,1.24246941904625E-008,0.0003880578,-0.0003880693,1.14443024141245E-008,0.0030213566
HeartAttack,2,FEMALE,2FEMALE,0.0004621968,-0.0004622117,1.49118633316662E-008,0.0004461342,-0.0004461489,1.46851761700723E-008,0.0030213566
HeartAttack,3,FEMALE,3FEMALE,0.0005173398,-0.0005173587,1.8935460338663E-008,0.0005173398,-0.0005173587,1.89385449864095E-008,0.0030213566
HeartAttack,4,FEMALE,4FEMALE,0.0006007862,-0.0006008108,2.46007816699302E-008,0.0006007886,-0.0006008132,2.46044988161319E-008,0.0030213566
HeartAttack,5,FEMALE,5FEMALE,0.0006976613,-0.0006976935,3.22440783872373E-008,0.0006976697,-0.000697702,3.22422188024827E-008,0.0018689594
HeartAttack,6,FEMALE,6FEMALE,0.0008105851,-0.0008106277,4.26288925244014E-008,0.0008106056,-0.0008106482,4.26302325765507E-008,0.0018689594
HeartAttack,7,FEMALE,7FEMALE,0.0009425577,-0.0009426145,5.68359802846716E-008,0.0009425998,-0.0009426567,5.68385824526535E-008,0.0018689594
HeartAttack,8,FEMALE,8FEMALE,0.0010970083,-0.0010970846,7.63335524003313E-008,0.0010970868,-0.0010971631,7.63387690148452E-008,0.0018689594
HeartAttack,9,FEMALE,9FEMALE,0.0012775606,-0.0012776636,0.000000103,0.0012776955,-0.0012777985,0.000000103,0.0018689594
HeartAttack,10,FEMALE,10FEMALE,0.0014875637,-0.0014877029,1.39194709028522E-007,0.0014877867,-0.0014879259,1.39206859165413E-007,0.0018689594
HeartAttack,11,FEMALE,11FEMALE,0.0017308332,-0.001731021,1.87818353193329E-007,0.0017311936,-0.0017313815,1.87844505620027E-007,0.0018689594
HeartAttack,12,FEMALE,12FEMALE,0.0020120776,-0.0020123306,0.000000253,0.0020126502,-0.0020129032,0.000000253,0.0018689594
HeartAttack,13,FEMALE,13FEMALE,0.0023365577,-0.0023368975,3.39815499070159E-007,0.0023374476,-0.0023377875,3.39893791704226E-007,0.0018689594
HeartAttack,14,FEMALE,14FEMALE,0.0027087322,-0.0027091865,4.54300728022602E-007,0.0027100629,-0.0027105174,4.54418036429198E-007,0.0018689594
HeartAttack,15,FEMALE,15FEMALE,0.0031332923,-0.0031338958,6.03429068936431E-007,0.0031350999,-0.0031357035,6.03596782470904E-007,0.1654400381
HeartAttack,16,FEMALE,16FEMALE,0.0036146893,-0.0036154847,7.95473068682905E-007,0.003616636,-0.0036174316,7.95679145146277E-007,0.1654400381
HeartAttack,17,FEMALE,17FEMALE,0.0041580116,-0.0041590524,1.04071661517687E-006,0.0041588397,-0.0041598804,1.04069380325457E-006,0.1654400381
HeartAttack,18,FEMALE,18FEMALE,0.0047683877,-0.0047697385,1.35079606763778E-006,0.0047652199,-0.0047665699,0.00000135,0.1654400381
HeartAttack,19,FEMALE,19FEMALE,0.0054493255,-0.0054510636,1.7380873329356E-006,0.0054371834,-0.0054389186,1.73517751105871E-006,0.1654400381
HeartAttack,20,FEMALE,20FEMALE,0.0062025276,-0.0062047413,2.21371004277606E-006,0.0061745686,-0.0061767752,2.20664223609151E-006,0.1654400381
HeartAttack,21,FEMALE,21FEMALE,0.0070280055,-0.0070307938,2.78832249276999E-006,0.0069767457,-0.0069795199,2.77415853035256E-006,0.1654400381
HeartAttack,22,FEMALE,22FEMALE,0.0079379833,-0.0079414786,3.49530944998437E-006,0.0078574366,-0.0078609075,3.47087370432894E-006,0.1654400381
HeartAttack,23,FEMALE,23FEMALE,0.0089515597,-0.0089559466,4.3869022352246E-006,0.008839882,-0.0088442313,4.34928425730065E-006,0.1654400381
HeartAttack,24,FEMALE,24FEMALE,0.0100806507,-0.0100861671,5.51645775070396E-006,0.009942763,-0.0099482275,5.46451422818721E-006,0.1654400381
HeartAttack,25,FEMALE,25FEMALE,0.0113421542,-0.0113491068,6.95268471335248E-006,0.0111845382,-0.0111914242,6.88589018564793E-006,0.1654400381
HeartAttack,26,FEMALE,26FEMALE,0.0127605183,-0.0127693172,8.79890946646363E-006,0.0125895938,-0.0125983107,8.71674146950048E-006,0.1654400381
HeartAttack,27,FEMALE,27FEMALE,0.0143756808,-0.0143869094,1.12286357619548E-005,0.0141942311,-0.0142053597,1.11285289122528E-005,0.1654400381
HeartAttack,28,FEMALE,28FEMALE,0.0162270713,-0.0162415224,1.44510826654647E-005,0.016030159,-0.0160444844,1.43252620215394E-005,0.1654400381
HeartAttack,29,FEMALE,29FEMALE,0.0183459382,-0.0183646402,0.000018702,0.0181186349,-0.018137169,1.85338868517323E-005,0.1654400381
HeartAttack,30,FEMALE,30FEMALE,0.0207596044,-0.0207838902,2.42858173072194E-005,0.0204842659,-0.0205083176,2.40512990803512E-005,0.2547906898
HeartAttack,31,FEMALE,31FEMALE,0.0235037442,-0.0235353412,0.000031597,0.0231637282,-0.0231949942,3.12654042289481E-005,0.2547906898
HeartAttack,32,FEMALE,32FEMALE,0.0266224773,-0.0266637048,4.12275584870264E-005,0.0262070353,-0.0262478002,4.07641043788594E-005,0.2547906898
HeartAttack,33,FEMALE,33FEMALE,0.0301833365,-0.0302373992,5.40627321459696E-005,0.0296938183,-0.0297472537,5.34341523017239E-005,0.2547906898
HeartAttack,34,FEMALE,34FEMALE,0.0342441254,-0.0343153726,7.12472245443715E-005,0.0337007768,-0.03377121,7.04312310091109E-005,0.2547906898
HeartAttack,35,FEMALE,35FEMALE,0.0388744585,-0.0389686319,9.4173372409955E-005,0.0382991206,-0.0383922678,9.31442235877534E-005,0.2547906898
HeartAttack,36,FEMALE,36FEMALE,0.044133145,-0.0442575688,0.0001244238,0.043544408,-0.0436675556,0.0001231431,0.2547906898
HeartAttack,37,FEMALE,37FEMALE,0.0500859439,-0.050250048,0.0001641041,0.0494910202,-0.0496535245,0.0001624973,0.2547906898
HeartAttack,38,FEMALE,38FEMALE,0.0568196657,-0.0570358437,0.000216178,0.0562071056,-0.0564212135,0.0002140971,0.2547906898
HeartAttack,39,FEMALE,39FEMALE,0.0644260506,-0.0647106438,0.0002845933,0.0637594839,-0.0640412637,0.0002817633,0.2547906898
HeartAttack,40,FEMALE,40FEMALE,0.0729849183,-0.0733593801,0.0003744618,0.072214669,-0.0725851425,0.0003704481,0.2547906898
HeartAttack,41,FEMALE,41FEMALE,0.0825626037,-0.0830542397,0.000491636,0.0816273992,-0.0821132299,0.0004857919,0.2547906898
HeartAttack,42,FEMALE,42FEMALE,0.0931757907,-0.093818294,0.0006425033,0.0920168346,-0.0926508392,0.0006339458,0.2547906898
HeartAttack,43,FEMALE,43FEMALE,0.1048003188,-0.1056348411,0.0008345223,0.103371296,-0.1041934769,0.0008220925,0.2547906898
HeartAttack,44,FEMALE,44FEMALE,0.1174058007,-0.118482275,0.0010764743,0.1156906157,-0.1167494728,0.0010587252,0.2547906898
HeartAttack,45,FEMALE,45FEMALE,0.1309662016,-0.1323444452,0.0013782436,0.1289441957,-0.1302976034,0.001353213,0.1906447078
HeartAttack,46,FEMALE,46FEMALE,0.1454066611,-0.1471559935,0.0017493325,0.1430562349,-0.1447709635,0.0017144448,0.1906447078
HeartAttack,47,FEMALE,47FEMALE,0.1605015204,-0.1626924264,0.0021909061,0.1578007473,-0.1599442727,0.0021431209,0.1906447078
HeartAttack,48,FEMALE,48FEMALE,0.1758905862,-0.1785888351,0.002698249,0.1728201937,-0.175454921,0.0026341663,0.1906447078
HeartAttack,49,FEMALE,49FEMALE,0.1911821442,-0.1944526812,0.003270537,0.1877261143,-0.190912948,0.0031860713,0.1906447078
HeartAttack,50,FEMALE,50FEMALE,0.2064120561,-0.2103380076,0.0039259516,0.2025553007,-0.2063717247,0.0038153948,0.1906447078
HeartAttack,51,FEMALE,51FEMALE,0.2216825196,-0.2263604639,0.0046779444,0.2174084762,-0.2219438667,0.0045340093,0.1906447078
HeartAttack,52,FEMALE,52FEMALE,0.2366899467,-0.2421988758,0.0055089293,0.2319920514,-0.2373180537,0.0053241805,0.1906447078
HeartAttack,53,FEMALE,53FEMALE,0.2510210959,-0.2574109598,0.0063898642,0.2459145699,-0.2520744954,0.0061575806,0.1906447078
HeartAttack,54,FEMALE,54FEMALE,0.2643364662,-0.2716303717,0.0072939058,0.2588537405,-0.2658648578,0.0070081738,0.1906447078
HeartAttack,55,FEMALE,55FEMALE,0.2765254079,-0.2847251565,0.008199749,0.2706949305,-0.278553784,0.0078552429,0.1906447078
HeartAttack,56,FEMALE,56FEMALE,0.2873937776,-0.2964769617,0.0090831845,0.2812318554,-0.2899115063,0.0086753161,0.1906447078
HeartAttack,57,FEMALE,57FEMALE,0.2971188835,-0.3070552294,0.0099363464,0.2906223832,-0.3000879958,0.0094605014,0.1906447078
HeartAttack,58,FEMALE,58FEMALE,0.3057929989,-0.3165414863,0.010748488,0.2988911485,-0.3090968911,0.0101998161,0.1906447078
HeartAttack,59,FEMALE,59FEMALE,0.3134220168,-0.3249241536,0.0115021376,0.3059693846,-0.3168523549,0.0108762149,0.1906447078
HeartAttack,60,FEMALE,60FEMALE,0.3200223504,-0.3322085083,0.0121861587,0.3117760897,-0.323261637,0.0114779673,0.1268317758
HeartAttack,61,FEMALE,61FEMALE,0.325854643,-0.338661947,0.0128073049,0.3165182247,-0.3285371898,0.0120105678,0.1268317758
HeartAttack,62,FEMALE,62FEMALE,0.3309067726,-0.3442656986,0.013358927,0.3201719677,-0.332649582,0.0124684321,0.1268317758
HeartAttack,63,FEMALE,63FEMALE,0.3351450468,-0.3489777457,0.0138327,0.3228036707,-0.3356612252,0.0128476645,0.1268317758
HeartAttack,64,FEMALE,64FEMALE,0.3390738836,-0.3533099003,0.0142360178,0.3250723759,-0.3382466233,0.0131638018,0.1268317758
HeartAttack,65,FEMALE,65FEMALE,0.341523863,-0.3559691439,0.0144452821,0.3257104528,-0.3390327282,0.0133116826,0.1268317758
HeartAttack,66,FEMALE,66FEMALE,0.3436237252,-0.3582737243,0.0146500002,0.3258243486,-0.3392829799,0.0134478959,0.1268317758
HeartAttack,67,FEMALE,67FEMALE,0.3453575044,-0.3602082798,0.0148507766,0.3254450774,-0.3390288052,0.0135728539,0.1268317758
HeartAttack,68,FEMALE,68FEMALE,0.3465679407,-0.3616108226,0.015042883,0.3244592242,-0.338151724,0.0136814946,0.1268317758
HeartAttack,69,FEMALE,69FEMALE,0.3471752386,-0.3623974156,0.0152221782,0.3226991375,-0.3364769484,0.0137666867,0.1268317758
HeartAttack,70,FEMALE,70FEMALE,0.3470597664,-0.3624368117,0.0153770465,0.3197810995,-0.3336035741,0.0138112572,0.0835626111
HeartAttack,71,FEMALE,71FEMALE,0.3465677082,-0.3620911082,0.0155234013,0.3160891969,-0.3299306352,0.0138301415,0.0835626111
HeartAttack,72,FEMALE,72FEMALE,0.3453485659,-0.3609940017,0.015645437,0.3113849985,-0.3252065149,0.0138101646,0.0835626111
HeartAttack,73,FEMALE,73FEMALE,0.3433290765,-0.3590695285,0.0157404533,0.3057331491,-0.3194949359,0.0137504057,0.0835626111
HeartAttack,74,FEMALE,74FEMALE,0.3403361646,-0.3561391096,0.0158029463,0.299132316,-0.31279102,0.0136473221,0.0835626111
HeartAttack,75,FEMALE,75FEMALE,0.3363524034,-0.3521799455,0.0158275434,0.2914053918,-0.3049064862,0.0134897496,0.0835626111
HeartAttack,76,FEMALE,76FEMALE,0.3315306865,-0.3473466395,0.0158159543,0.2825087704,-0.295793112,0.0132730769,0.0835626111
HeartAttack,77,FEMALE,77FEMALE,0.3258632558,-0.3416241196,0.0157608652,0.2722940092,-0.2852926038,0.0129874623,0.0835626111
HeartAttack,78,FEMALE,78FEMALE,0.3193246568,-0.3349832853,0.0156586298,0.2608864907,-0.2735327644,0.0126353267,0.0835626111
HeartAttack,79,FEMALE,79FEMALE,0.3117354964,-0.3272387842,0.0155032891,0.2485193526,-0.2607544431,0.012224378,0.0835626111
HeartAttack,80,FEMALE,80FEMALE,0.3032287336,-0.3185293499,0.0153006176,0.2355135797,-0.2472915719,0.0117675549,0.0457081175
HeartAttack,81,FEMALE,81FEMALE,0.2937281094,-0.3087732159,0.0150451078,0.2219841357,-0.23326342,0.0112691627,0.0457081175
HeartAttack,82,FEMALE,82FEMALE,0.2834279372,-0.2981704064,0.0147424706,0.2082051059,-0.2189559665,0.0107410889,0.0457081175
HeartAttack,83,FEMALE,83FEMALE,0.2722815271,-0.2866632216,0.0143816957,0.1941744087,-0.204360645,0.0101768594,0.0457081175
HeartAttack,84,FEMALE,84FEMALE,0.2605570014,-0.2745338963,0.0139768962,0.1803134558,-0.1899099279,0.0095875275,0.0457081175
HeartAttack,85,FEMALE,85FEMALE,0.2485955752,-0.2621430138,0.0135474399,0.1668047603,-0.1757867024,0.0089734662,0.0457081175
HeartAttack,86,FEMALE,86FEMALE,0.2363463208,-0.2494335777,0.0130872581,0.1532428173,-0.1615657234,0.0083149512,0.0457081175
HeartAttack,87,FEMALE,87FEMALE,0.2240038835,-0.2366023383,0.012598456,0.139425891,-0.1470510552,0.0076177769,0.0457081175
HeartAttack,88,FEMALE,88FEMALE,0.2117235257,-0.2237908739,0.0120673493,0.1252745311,-0.1321793926,0.0068980792,0.0457081175
HeartAttack,89,FEMALE,89FEMALE,0.2005756468,-0.2121048649,0.0115292193,0.1116919738,-0.1179114172,0.0062132585,0.0457081175
HeartAttack,90,FEMALE,90FEMALE,0.1912573167,-0.2023304451,0.0110731295,0.1006642701,-0.1063385926,0.0056686304,0.0457081175
HeartAttack,91,FEMALE,91FEMALE,0.1857518947,-0.196631243,0.0108793494,0.0937915881,-0.0991394354,0.0053424683,0.0457081175
HeartAttack,92,FEMALE,92FEMALE,0.1719371877,-0.1821850771,0.0102478903,0.0839321017,-0.0887492763,0.0048123569,0.0457081175
HeartAttack,93,FEMALE,93FEMALE,0.1577877365,-0.167363141,0.0095754054,0.0737380774,-0.077959471,0.0042172442,0.0457081175
HeartAttack,94,FEMALE,94FEMALE,0.1470098313,-0.1560593746,0.0090495443,0.0647867446,-0.06843944,0.0036492255,0.0457081175
HeartAttack,95,FEMALE,95FEMALE,0.1384610501,-0.1470543268,0.0085932775,0.0567400903,-0.0598326619,0.0030898034,0.0457081175
HeartAttack,96,FEMALE,96FEMALE,0.1308106328,-0.1389312382,0.0081206062,0.0491838573,-0.0517007347,0.0025148331,0.0457081175
HeartAttack,97,FEMALE,97FEMALE,0.1242331909,-0.1318706698,0.0076374795,0.0421768288,-0.044112543,0.001934362,0.0457081175
HeartAttack,98,FEMALE,98FEMALE,0.1175466932,-0.1246035734,0.0070568808,0.0351581074,-0.0365107923,0.0013519292,0.0457081175
HeartAttack,99,FEMALE,99FEMALE,0.1083329713,-0.1145430233,0.0062100525,0.0274801227,-0.0282879753,0.0008075242,0.0457081175
HeartAttack,100,FEMALE,100FEMALE,0.0975583944,-0.1026841987,0.0051258047,0.0199109796,-0.0203076872,0.0003966032,0.0457081175
HeartAttack,101,FEMALE,101FEMALE,0.0850189718,-0.0888526849,0.0038337133,0.0133405414,-0.0134964052,0.0001558408,0.0457081175
HeartAttack,102,FEMALE,102FEMALE,0.0673813742,-0.0697331884,0.0023518144,0.0079590348,-0.0080051869,4.61488738621871E-005,0.0457081175
HeartAttack,103,FEMALE,103FEMALE,0.0437537248,-0.0447359831,0.0009822584,0.0038712471,-0.0038803175,9.07009480501624E-006,0.0457081175
HeartAttack,104,FEMALE,104FEMALE,0.0186285418,-0.0188040638,0.000175522,0.0012742172,-0.0012750521,8.34921005166287E-007,0.0457081175
HeartAttack,105,FEMALE,105FEMALE,0,0,0,0,0,0,0.0457081175
Cardiopulmonary,0,MALE,0MALE,0.0195828554,-0.0195956158,1.27603795598129E-005,0.0164795179,-0.0164903851,1.08672505008925E-005,2.0608821357
Cardiopulmonary,1,MALE,1MALE,0.0196084546,-0.0196226946,0.00001424,0.0174494422,-0.0174623329,1.28907278299599E-005,2.0608821357
Cardiopulmonary,2,MALE,2MALE,0.0203300971,-0.0203466712,1.65740682194719E-005,0.0187963733,-0.0188119361,1.5562818743318E-005,2.0608821357
Cardiopulmonary,3,MALE,3MALE,0.0216540284,-0.0216738488,1.98204232987315E-005,0.0204898246,-0.0205088232,1.89986412550033E-005,2.0608821357
Cardiopulmonary,4,MALE,4MALE,0.0234334824,-0.0234575313,2.40488924336744E-005,0.0225031143,-0.0225264529,2.33386055329535E-005,2.0608821357
Cardiopulmonary,5,MALE,5MALE,0.0255803269,-0.0256097207,2.93937601888255E-005,0.0248248325,-0.0248535992,2.87666725750979E-005,1.4622071778
Cardiopulmonary,6,MALE,6MALE,0.0281133435,-0.0281494567,3.61131920453979E-005,0.0274606095,-0.0274961291,3.5519540584501E-005,1.4622071778
Cardiopulmonary,7,MALE,7MALE,0.0310415187,-0.0310860321,4.45134008920783E-005,0.0304244458,-0.0304683398,0.000043894,1.4622071778
Cardiopulmonary,8,MALE,8MALE,0.0343706548,-0.0344256283,5.49735367346703E-005,0.0337406165,-0.0337948912,5.42747237560366E-005,1.4622071778
Cardiopulmonary,9,MALE,9MALE,0.0380915649,-0.0381594847,6.79198121835323E-005,0.0374383909,-0.0375055089,0.000067118,1.4622071778
