Pollutant,Dwelling Type,Ventilation Type,"B4 (45, 45, 10)",b3,b2,b1,b0,"B4 (55, 45, 0)",b3,b2,b1,b0,"B4 (21, 33, 8)",b3,b2,b1,b0,"B4 (29, 33, 0)",b3,b2,b1,b0
INPM2_5,House6,E,-2.26612979845022E-006,0.0001489045,-0.0021752865,-0.0658703211,4.6547693866,-3.94692146006761E-006,0.0002852654,-0.0062561797,-0.000861512,2.0552613541,-3.64920652180093E-007,1.02156205999238E-005,0.0009324321,-0.0657294185,3.2223968496,-0.00000176,0.0001233952,-0.0024547093,-0.0117721069,1.0648051827
INPM2_5,House6,T,8.30934642396054E-007,-0.0001863565,0.0128183572,-0.4467229875,12.4543921792,1.24362248760958E-006,-0.0001993248,0.0118941531,-0.3703848049,7.3467473185,8.13835487427406E-009,-7.49457130629909E-005,0.0067482127,-0.2621715927,8.1919840596,3.50669266401493E-007,-8.57094437438156E-005,0.0059811232,-0.1988109011,3.9526388252
INPM2_5,House6,NOTE,-1.36245435569342E-006,-0.000009073,0.0080697529,-0.4189201569,13.2571351991,-5.3401562090581E-006,0.0003204542,-0.0024910742,-0.2183357872,7.1695933138,-1.93811783445296E-008,-0.000066891,0.0065374466,-0.2754859102,8.8454375688,-3.32087371663726E-006,0.0002066165,-0.00222804,-0.1090008834,3.792777804
INPM2_5,House7,TE,4.11054339789046E-006,-0.0003703606,0.0132869148,-0.2683089099,5.4137487474,3.96188787306363E-006,-0.0003539391,0.0124355533,-0.2342526218,3.4006196841,2.76405736937854E-006,-0.0002507058,0.0090832724,-0.1869579284,3.9916686268,2.64067328377231E-006,-0.0002370759,0.0083766423,-0.1586912093,2.3207715043
INPM2_5,House7,E,0.000010771,-0.0009221377,0.0303982193,-0.5181330033,7.1857467603,1.04006757316177E-005,-0.0008871129,0.0289003431,-0.4704396496,4.9596571213,7.21809591971301E-006,-0.0006207151,0.0206217005,-0.3573313573,5.2298457145,6.91071814132491E-006,-0.0005916445,0.0193784632,-0.3177458738,3.3821913141
INPM2_5,House7,T,1.35353935073264E-005,-0.0011953631,0.0419972182,-0.8187884294,13.4645241624,1.26933878913458E-005,-0.0011125238,0.0384843832,-0.7192636309,9.8292317992,8.89777547174436E-006,-0.0007921766,0.0282222713,-0.5648627549,9.7724185304,8.19891081048037E-006,-0.00072342,0.0253066183,-0.4822571722,6.7551258689
INPM2_5,House7,NOTE,3.45836115020328E-005,-0.0029530431,0.0967849273,-1.6130057309,18.7779301968,3.26667818943933E-005,-0.0027664753,0.0894021915,-1.4428669476,14.486259504,2.2966445549028E-005,-0.0019737203,0.0653744072,-1.1108891259,13.4988781427,2.13754769746874E-005,-0.001818869,0.0592467365,-0.9696739357,9.9367914677
ETS,Flat1,TE,3.99058569557071E-006,-0.0004057837,0.0183757247,-0.5335897552,12.8914223132,4.03609283130214E-006,-0.000411571,0.01870552,-0.5463147768,13.5238912944,2.33924253066204E-006,-0.0002378967,0.0107796157,-0.3122781238,7.311136163,0.000002377,-0.0002427002,0.0110533458,-0.3228398918,7.8360854174
ETS,Flat1,E,1.68665490664392E-005,-0.0015418574,0.0581357138,-1.2740039592,20.7987859045,1.68695099282176E-005,-0.0015445231,0.0584529087,-1.2917785127,21.5956750026,1.0673770166313E-005,-0.0009659251,0.0358338089,-0.7660729077,11.98386121,1.06762276815891E-005,-0.0009681376,0.0360970807,-0.7808257872,12.6452791615
ETS,Flat1,T,0.000025692,-0.0022310792,0.0761416508,-1.3939072631,18.9386662165,2.59972313268917E-005,-0.0022567403,0.0769774508,-1.409627789,19.4137331823,1.56396266149987E-005,-0.0013576382,0.0462660948,-0.8419895895,11.0731141738,1.58929311637184E-005,-0.0013789369,0.0469598088,-0.855037626,11.4674197554
ETS,Flat1,NOTE,0.0003384913,-0.0268832525,0.7789856169,-10.1901338641,64.1656552879,0.0003406338,-0.0270523534,0.7838809403,-10.2574445903,64.9542106539,0.0002109195,-0.0167421901,0.4845310828,-6.3151369954,39.002526044,0.0002126978,-0.0168825438,0.4885942013,-6.3710048982,39.6570269979
ETS,Flat2,TE,1.98259835758067E-006,-0.0001970577,0.0094331645,-0.3323518444,10.5272740263,1.96672910685614E-006,-0.0001945878,0.0093320901,-0.3327226813,10.5596902316,1.18427040640658E-006,-0.0001192448,0.0057323245,-0.1982225524,6.073882178,1.17109892830527E-006,-0.0001171948,0.0056484327,-0.198530347,6.1007876284
ETS,Flat2,E,4.75421684425282E-006,-0.0004830494,0.0215963326,-0.622285861,14.7339355316,5.04825292018963E-006,-0.0005032328,0.0220772949,-0.6292417422,14.8190454039,3.17414450436421E-006,-0.0003151929,0.0136609368,-0.3776654048,8.5447461235,3.41819444739198E-006,-0.0003319452,0.0140601356,-0.3834387862,8.6153873175
ETS,Flat2,T,4.73147281697784E-006,-0.0004519379,0.0190782789,-0.5306835261,13.1318200669,4.75921873724552E-006,-0.0004535772,0.0191063178,-0.5323157823,12.9013916216,2.87805073223024E-006,-0.0002761931,0.011676137,-0.3207765143,7.7403909583,2.90107984605246E-006,-0.0002775536,0.0116994093,-0.322131287,7.5491353487
ETS,Flat2,NOTE,4.75421684425282E-006,-0.0004830494,0.0215963326,-0.622285861,14.7339355316,5.04825292018963E-006,-0.0005032328,0.0220772949,-0.6292417422,14.8190454039,3.17414450436421E-006,-0.0003151929,0.0136609368,-0.3776654048,8.5447461235,3.41819444739198E-006,-0.0003319452,0.0140601356,-0.3834387862,8.6153873175
ETS,Flat3,TE,-5.95215644228108E-006,0.0003474584,-0.0004089616,-0.4661651836,20.3996210782,-5.94114434209517E-006,0.0003456205,-0.0003127835,-0.469993204,20.9525900286,-3.36681908108555E-006,0.0001894682,0.000520323,-0.2971128668,12.1213055134,-3.35767903793174E-006,0.0001879427,0.0006001508,-0.3002901237,12.5802697423
ETS,Flat3,E,4.17683921351456E-006,-0.0004460162,0.0219152359,-0.742087828,22.9407426379,4.18967031239046E-006,-0.0004488529,0.0221402332,-0.7514635272,23.59029701,2.54606162476304E-006,-0.0002735286,0.0135135065,-0.4575201982,13.6470304762,2.55671143682988E-006,-0.0002758831,0.0137002542,-0.4653020285,14.186160605
ETS,Flat3,T,1.70373908480816E-005,-0.0018766534,0.0855809499,-2.1939287577,39.8187171912,1.70401026434831E-005,-0.0018788119,0.0857267003,-2.2001904915,40.3889411343,1.1081145232206E-005,-0.0012057373,0.0543804546,-1.3778670606,24.2461194547,1.10833960223895E-005,-0.001207529,0.0545014275,-1.3830642996,24.7194053275
ETS,Flat3,NOTE,0.000040952,-0.0037060727,0.1358836509,-2.8268131297,45.3991985493,4.10838838763201E-005,-0.0037182759,0.1363590008,-2.837757189,45.979159957,2.55580598578292E-005,-0.0023155295,0.0849972704,-1.7676912049,27.7741429106,2.56675517307649E-005,-0.0023256581,0.0853918108,-1.7767747741,28.255510879
ETS,House1,TE,1.05455119288415E-005,-0.0009120229,0.0304876077,-0.5180972837,6.4914657824,1.08196824435267E-005,-0.0009389976,0.0315806366,-0.5424240802,7.0307394132,6.13743527662147E-006,-0.0005303836,0.0176983281,-0.2996361984,3.6317082162,0.000006365,-0.0005527726,0.0186055421,-0.3198274396,4.0793053297
ETS,House1,E,0.000046524,-0.0038360345,0.1177901425,-1.6929779493,13.4816107627,4.7897590854346E-005,-0.0039553809,0.1218074597,-1.7614664289,14.3885040055,2.60543822802905E-005,-0.0021542338,0.0664046302,-0.9593086452,7.5643557381,2.71944492519822E-005,-0.0022532914,0.0697390035,-1.0161540833,8.3170771296
ETS,House1,T,1.35261817126258E-005,-0.0011464122,0.0371121601,-0.6036663485,7.2307686479,1.39334228963923E-005,-0.0011821216,0.0383496878,-0.6274040617,7.7362809937,7.87375086794715E-006,-0.0006681974,0.0216688058,-0.3527283974,4.097131119,8.21176105047343E-006,-0.0006978361,0.0226959537,-0.3724306994,4.516706366
ETS,House1,NOTE,7.71056816414127E-005,-0.0061700931,0.1811103925,-2.4242908893,16.8238283792,7.88905550766249E-005,-0.0063210322,0.18605382,-2.5065481202,17.8019774996,4.51864821637818E-005,-0.0036138227,0.1059348459,-1.413354144,9.6178912378,4.66679271150079E-005,-0.0037391021,0.1100378907,-1.4816276456,10.4297550077
ETS,House2,TE,1.6948794112831E-005,-0.001412551,0.0444102272,-0.6803031014,7.5487676542,1.73581400976553E-005,-0.0014471043,0.0455430992,-0.7000860868,8.0114858053,9.88836534372928E-006,-0.0008256419,0.026023761,-0.3999772652,4.3185034031,1.02281225111335E-005,-0.0008543212,0.0269640448,-0.4163971431,4.7025594685
ETS,House2,E,3.75260566881411E-005,-0.0030968944,0.0953997388,-1.3882921121,12.0898324357,3.84440686665063E-005,-0.0031749704,0.0979216233,-1.4288391633,12.7208481932,2.06098946284634E-005,-0.0017086791,0.0530259971,-0.7813478913,6.8284032753,2.13718445705064E-005,-0.0017734822,0.0551191612,-0.8150019437,7.352146354
ETS,House2,T,2.04763835561147E-005,-0.0017126711,0.0540400769,-0.8285143622,8.8152485615,2.01727017536842E-005,-0.0016957241,0.05388968,-0.835488902,9.1929008319,1.27298391936482E-005,-0.0010596075,0.0331969427,-0.503491459,5.1432037154,1.2477783297631E-005,-0.0010455415,0.0330721133,-0.509280327,5.4566550999
ETS,House2,NOTE,8.43120818272812E-005,-0.0067006568,0.1943533405,-2.5483166355,17.5519102259,0.000085118,-0.0067736532,0.1968765875,-2.5909810624,18.1546217175,5.03576157828182E-005,-0.003997093,0.1157300192,-1.5135600517,10.2578023013,5.10264883441221E-005,-0.00405768,0.1178243142,-1.548971526,10.7580528393
ETS,House3,TE,1.92838703964899E-005,-0.0016243463,0.0521688255,-0.8325069239,8.5009314038,2.00570697702701E-005,-0.0016890465,0.0542943923,-0.8704086757,9.0886701089,1.12067414493813E-005,-0.0009476681,0.0305807795,-0.4899467585,4.8999915765,1.18484969296189E-005,-0.0010013693,0.0323449999,-0.5214052125,5.3878147017
ETS,House3,E,6.29131836019566E-005,-0.0051401209,0.1551549712,-2.1593238892,15.4183611305,6.53198624553384E-005,-0.0053374803,0.1611299088,-2.2446156562,16.2322056781,3.50717690300223E-005,-0.0028830125,0.0878471709,-1.2400650358,8.9132306422,3.70693124783292E-005,-0.0030468208,0.0928063691,-1.3108572024,9.5887216167
ETS,House3,T,2.37303879129511E-005,-0.0019937513,0.0633563893,-0.9856326092,9.5963276061,2.46390608982559E-005,-0.0020709273,0.0658462172,-1.0262443952,10.116583809,1.39151920748646E-005,-0.0011707673,0.0373049355,-0.5826026742,5.5926866222,1.46693906526677E-005,-0.0012348233,0.0393714926,-0.6163104565,6.0244992706
ETS,House3,NOTE,0.0001087796,-0.0086449476,0.2503477055,-3.2529032397,20.2548012683,0.0001104556,-0.0087811083,0.254466567,-3.3122095906,20.837988016,6.45307940650064E-005,-0.005133401,0.1489040809,-1.9404581364,12.0295523203,6.59218672685531E-005,-0.0052464144,0.1523227359,-1.9896824076,12.5135973209
ETS,House4,TE,1.05723247568111E-005,-0.0008861536,0.0280775691,-0.4338406081,4.8193726696,1.09501993211303E-005,-0.0009174243,0.0290486413,-0.4484428646,5.0595134972,6.00434508718293E-006,-0.0005063529,0.0162061277,-0.254761041,2.8088795414,0.000006318,-0.0005323076,0.0170121176,-0.2668809139,3.0081964284
ETS,House4,E,5.28550840877084E-005,-0.0041996145,0.1214627819,-1.5729391284,10.3925662548,5.39966086513487E-005,-0.004294699,0.1244040783,-1.6149857723,10.8027331837,0.000029935,-0.0023835293,0.0692062467,-0.9037361558,6.0157751195,3.0882415567883E-005,-0.0024624494,0.0716475227,-0.9386348702,6.3562136705
ETS,House4,T,1.24581832697251E-005,-0.0010424537,0.0329500935,-0.5088370785,5.6007544378,1.26683105909023E-005,-0.001060812,0.0335555809,-0.5179821794,5.7249121338,7.29378432024963E-006,-0.0006121766,0.0194526794,-0.3035327359,3.3148461086,7.46818999682659E-006,-0.000627414,0.019955234,-0.3111231696,3.4178969963
ETS,House4,NOTE,6.1676493308468E-005,-0.0048867752,0.1409077257,-1.8216996256,12.0071935123,6.20125943918676E-005,-0.0049175389,0.1419894926,-1.839624951,12.2111186993,3.60785874906867E-005,-0.0028599551,0.0825746654,-1.0718428473,7.0760515272,3.63575513899083E-005,-0.0028854889,0.083472532,-1.0867208674,7.2453094324
ETS,House5,TE,1.23845895378774E-005,-0.0010468639,0.0336193515,-0.5292246093,4.9742307622,1.2373557881258E-005,-0.0010462848,0.0336159995,-0.5292173873,4.9526538204,7.51484518456592E-006,-0.000634136,0.0203069844,-0.3178660843,2.9266541479,7.50568890957174E-006,-0.0006336553,0.0203042022,-0.31786009,2.9087452862
ETS,House5,E,0.000025745,-0.0021406289,0.0666669542,-0.9821736099,7.6414354495,2.55835342267772E-005,-0.0021280776,0.0663235186,-0.9780522655,7.5975012094,0.000015739,-0.0013064039,0.0405688875,-0.5944092572,4.5432689103,0.000015605,-0.0012959864,0.0402838359,-0.5909885414,4.506803491
ETS,House5,T,1.37575809155247E-005,-0.0011571181,0.0369020625,-0.5766675738,5.4289771178,1.36857634860313E-005,-0.0011512541,0.0367124929,-0.5723199881,5.2948581015,8.44068113992397E-006,-0.0007085629,0.0225250832,-0.3499969527,3.2385467566,8.38107267344453E-006,-0.0007036958,0.0223677405,-0.3463884566,3.127227973
ETS,House5,NOTE,9.36026471618965E-005,-0.0073980901,0.2124728425,-2.723116952,16.0805640155,9.36350982243436E-005,-0.0074001138,0.2124931652,-2.7208693566,15.9488224094,5.81115396494543E-005,-0.0045904782,0.1317135378,-1.6847618255,9.8582092603,5.81384740312855E-005,-0.0045921579,0.1317304057,-1.6828963212,9.7488637272
ETS,House6,TE,9.33823187979971E-006,-0.0008088485,0.0272629127,-0.478691518,6.3614412776,9.879141744227E-006,-0.0008482586,0.0282912762,-0.4925099268,6.6693561874,5.20764821096255E-006,-0.0004561764,0.0156364751,-0.2808807612,3.6833149326,5.65660339843713E-006,-0.0004888868,0.0164900168,-0.2923500405,3.9388843077
ETS,House6,E,4.39423756278977E-005,-0.0035664962,0.1068253308,-1.484760541,11.7309546427,4.56153584010014E-005,-0.0036993907,0.1107135421,-1.5383005144,12.287539066,0.000023842,-0.0019497493,0.0591043816,-0.8386193827,6.7419561022,2.52305422222947E-005,-0.0020600517,0.062331597,-0.8830575607,7.2039211735
ETS,House6,T,1.22336946286987E-005,-0.0010602416,0.0355961243,-0.6128473289,7.5189018954,1.26339496293503E-005,-0.0010904797,0.0364106015,-0.6226659465,7.6810810877,7.16347029667898E-006,-0.0006237504,0.0210954758,-0.3670585414,4.427154368,7.49568194721984E-006,-0.000648848,0.0217714919,-0.375207994,4.5617630977
ETS,House6,NOTE,8.08926612241486E-005,-0.0064293902,0.1870874153,-2.490384458,17.4349507889,8.16865065838885E-005,-0.0064931598,0.1889620271,-2.5155455837,17.7220162323,4.86014077134142E-005,-0.0038673838,0.1127508867,-1.504473818,10.3698681053,4.92602993619983E-005,-0.0039203125,0.1143068144,-1.5253575524,10.6081324233
ETS,House7,TE,1.51699420100975E-005,-0.001286526,0.0418079569,-0.6870883385,8.010521446,1.54626615722313E-005,-0.0013137878,0.0428445981,-0.7100790256,8.5987594534,0.000009048,-0.0007671048,0.0249005217,-0.4072507151,4.5536993096,0.000009291,-0.0007897321,0.0257609339,-0.4263329854,5.0419368557
